"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,2400,2400,2412.5,2450,2450,2395,2395,2300,2295,2200,2200,2200,2200,2200,2100,2150,2175,2169,2100,2100,2000,2000,1995,1995,2000,1995,1999,1995,2000,2100,2000,2100,2095,2000,2095,2095,2000,2000,2050,2200,2285,2295,2300,2300,2282.5,2250,2295,2300,2300,2350,2400,2447,2500,2500,2500,2500,2500,2500,2500,2500,2500
"Texas",2,1700,1550,1700,1800,1800,1695,1600,1600,1600,1650,1700,1600,1595,1595,1595,1595,1595,1575,1550,1500,1500,1500,1500,1525,1550,1600,1550,1550,1595,1595,1575,1525,1500,1500,1500,1500,1500,1550,1550,1598,1595,1600,1600,1600,1595,1550,1595,1595,1550,1550,1595,1653,1700,1700,1700,1700,1695,1695,1695,1695,1700,1750,1750,1799,1800,1800,1800,1800,1775,1795,1795,1790,1790
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3800,3800,3775,3800,4000,4000,4000,4350,3700,3800,4000,4000,4000,3900,3875,3942,3995,3950
"Florida",4,,,,,,,,,,,,,1900,1900,1950,1995,2000,2000,2000,2000,1975,1950,1900,1895,1950,2000,1950,1950,1995,1950,1950,1900,1900,1900,1850,1800,1900,1950,1950,1900,1900,2000,1900,2000,2000,2100,2100,2000,2000,1975,1995,2050,2095,2100,2000,2050,2000,1990,1950,1900,1950,1947.5,1900,1975,1995,1995,2000,1950,1970,2000,2000,2000,2000
"Illinois",5,,2300,2250,2200,2200,2200,2100,2100,2150,2100,2250,2000,2000,2100,2200,2250,2300,2200,2200,2100,2100,2000,2000,2000,2000,2107.5,2047.5,2100,2175,2150,2100,1995,1900,1834,1895,1895,1890,2000,1995,2075,2095,2100,1995,1900,1897,1850,1900,1850,1800,1850,1900,2100,2160,2150,2200,2100,2000,2000,2025,1995,1995,2000,2000,2200,2300,2260,2148,2000,1975,1985,1900,1900,1900
"Pennsylvania",6,,,,,,,,,,,,,1595,1600,1800,1790,1795,1700,1700,1700,1600,1660,1775,1775,1797.5,1800,1800,1800,1800,1840,1800,1700,1690,1625,1600,1600,1795,1800,1850,1950,1900,1875,1800,1700,1600,1600,1697.5,1700,1700,1750,1800,1900,1900,1850,1800,1725,1700,1800,1775,1800,1800,1900,1950,1950,1900,1900,1800,1800,1750,1800,1700,1750,1800
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1450,1425,1425,1450,1425,1400,1450,1495,1490,1500,1495,1425,1500,1475,1492,1500,1425,1450,1495
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,1350,1400,1400,1300,1395,1400,1500,1400,1495,1395.5,1400,1400,1500,1295,1150,1300,1297.5,1210,1300,1400,1492.5,1600,1675,1700,1612.5,1560,1560,1500,1500,1500,1700,1675,1750,1800,1900,1895,1800,1799,1750,1800,1800,1800,1800,1800,1850,1850,1900,1875,1800,1800,1800,1800
"Georgia",9,,1450,1495,1500,1500,1500,1500,1500,1500,1450,1450,1395,1395,1395,1400,1450,1450,1400,1395,1395,1375,1350,1300,1300,1300,1325,1300,1350,1350,1350,1300,1300,1300,1300,1295,1290,1300,1300,1300,1300,1300,1350,1300,1322.5,1325,1300,1300,1300,1295,1295,1300,1350,1375,1375,1375,1375,1375,1377,1395,1395,1395,1400,1415,1450,1450,1450,1450,1425,1400,1429,1450,1450,1450
"North Carolina",10,,1550,1550,1600,1550,1500,1500,1550,1595,1500,1550,1500,1450,1449.5,1450,1444.5,1400,1400,1400,1400,1350,1350,1350,1350,1395,1395,1400,1400,1400,1400,1395,1375,1350,1350,1345,1325,1300,1350,1395,1400,1400,1400,1400,1375,1350,1350,1350,1350,1350,1350,1375,1400,1400,1400,1400,1400,1400,1395,1395,1395,1395,1425,1450,1450,1450,1425,1450,1425,1450,1437,1400,1449,1450
