"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2299.5,2200,2200,2199,2196,2200,2200,2200,2200,2247.5,2350,2325,2395,2395,2300,2350,2395,2300,2300,2300,2500,2500,2575,2575,2550,2500,2595,2575,2595,2600,2750,2792.5,2800,2895,2880,2900,2815,2800,2700,2750,2795,2795
"Texas",2,,,,,,,,,,,,,2100,2100,2195,2200,2150,2100,2000,2000,1995,1995,1995,1950,1995,2000,1995,1995,2000,2000,2000,1850,1895,1950,1892.5,1850,1950,2000,2000,1995,2000,2000,2000,2000,1995,2000,2072,1995,1995,1995,2000,2200,2295,2250,2250,2300,2200,2200,2200,2200,2200,2200,2300,2399.5,2450,2400,2400,2450,2495,2447.5,2395,2399,2395
"Florida",3,,,,,,,,,,,,,,,,,,2800,2841,2900,2800,2900,2850,2800,2700,2950,2900,2950,3100,3200,3200,3000,2950,2900,2850,2850,2850,2900,2800,2800,2692.5,2875,2800,2995,2995,3000,2975,2900,2900,2800,2835,3000,3000,3200,2850,2850,2800,2837.5,2800,2800,2800,2800,2885,2850,2800,2800,2850,2750,2800,2900,2950,2950,2800
"Illinois",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658,2499,2450,2400,2250,2300,2275,2200,2140,2300,2275,2472.5,2595,2595,2510,2400,2250,2372.5,2274.5,2100,2000
"Pennsylvania",5,,,,,,,,,,,,,,,1200,1300,1500,1400,1425,1350,1300,1250,1212.5,1225,1337.5,1490,1500,1500,1500,1500,1650,1600,1500,1500,1395,1600,1850,1900,1800,1800,1800,1800,1500,1399.5,1300,1525,1500,1550,1700,1700,1800,1950,2000,1800,1650,1550,1500,1650,1650,1900,1900,1885,2000,2000,2000,2000,1915,1950,1800,2000,1800,1850,1875
"Georgia",6,,,,,,,,,,,,,1900,1800,1897.5,1900,1900,1995,1995,1895,1885,1900,1900,1800,1800,1895,1850,1850,1900,1875,1800,1700,1700,1695,1600,1600,1600,1600,1700,1650,1677.5,1650,1600,1680,1650,1572.5,1600,1550,1525,1550,1600,1712.5,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1800,1895,1895,1875,1820,1829,1800,1750,1800,1800
"North Carolina",7,1995,2200,2472.5,2300,2200,2200,2200,2000,2000,2197.5,2200,1995,1895,1800,1800,1875,1895,1895,1895,1850,1797.5,1700,1700,1895,1795,1795,1900,1945,1850,1850,1875,1895,1750,1750,1700,1750,1772.5,1795,1750,1795,1795,1795,1797.5,1750,1700,1700,1700,1657,1695,1695,1697.5,1750,1800,1850,1800,1795,1795,1725,1750,1800,1825,1800,1842.5,1750,1760,1760,1700,1700,1772.5,1795,1800,1750,1797.5
"New Jersey",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,4000,3350,3200,3000,2625,2600,2400,2550,2700,2950,2850,3000,3500,3500,3250,2997.5,2800,2500,2449.5,2500,2500,2750,3000,3000,3000,2975,3000,3000,2600,2675,2750,2725,2750,2700
"Virginia",9,,,,,,,,,,,,,2000,2150,2000,2150,2200,2200,2295,2200,2150,2200,2200,2250,2250,2200,2344.5,2400,2395,2400,2319.5,2200,2200,2195,2195,2195,2172.5,2200,2295,2300,2300,2350,2377.5,2300,2200,2200,2222.5,2200,2200,2200,2200,2385,2495,2500,2400,2400,2300,2295,2200,2200,2150,2185,2250,2395,2472.5,2495,2395,2312.5,2285,2300,2300,2282.5,2225
"Washington",10,,,,,,,,,,,,,,1495,1595,1700,1795,1500,1572.5,1700,1695,1700,1700,1695,1550,1500,1595,1575,1600,1695,1700,1649,1595,1500,1550,1595,1637.5,1670,1700,1700,1680,1750,1700,1595,1600,1697.5,1750,1695,1650,1650,1650,1800,1812.5,1837.5,1895,1800,1837.5,1825,1797.5,1795,1800,1850,1925,1895,1910,1895,1995,1995,1950,1800,1750,1895,1800
"Massachusetts",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,3800,3800,3750,3800,3800,3750,3600,3600,3600,3500,3800,4200,4000,4000,4100,4000,3900,3800,3750,3799,3800,3700,4000,4200,4200,4100,4000,4000,3900,3800,3800,3650,3500,3700,4000,4400,4375
"Arizona",12,,2850,2850,2700,2775,2500,2500,2500,2500,2500,2400,2200,2000,1950,2000,1995,1980,1850,1850,1800,1795,1795,1795,1750,1790,1800,1800,1895,1850,1800,1800,1795,1795,1750,1700,1745,1697.5,1795,1900,1849,1795,1750,1672.5,1675,1650,1600,1620,1600,1600,1600,1600,1850,1875,1800,1825,1849.5,1850,1850,1895,1900,1950,2000,2000,2000,2095,1995,1995,2000,1999,1985,1950,2000,2095
"Tennessee",13,,,,,,,,,,,,,,1700,1782.5,1800,1947.5,1895,2000,1875,1700,1950,1995,1925,1675,1975,2000,1950,1937.5,1950,1800,1600,1575,1595,1500,1500,1400,1497.5,1600,1500,1297.5,1150,1350,1400,1525,1495,1450,1495,1350,1400,1395,1400,1400,1300,1400,1300,1497.5,1500,1500,1550,1700,1650,1500,1547.5,1597.5,1650,1537.5,1495,1500,1600,1625,1400,1400
"Missouri",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.5,1100,1125,950,950,1000,950,900,900,900,895,850,875
"Maryland",15,,,,,,,,,,,,,2600,2600,2787.5,2950,3000,2900,2850,2800,2675,2800,2700,2511,2511,2590,2400,2450,2700,2600,2590,2600,2500,2600,2525,2500,2500,2500,2550,2500,2500,2550,2625,2650,2600,2595,2600,2500,2400,2350,2400,2800,2700,2650,2700,2650,2500,2600,2600,2500,2600,2625,2700,2750,2700,2725,2800,2600,2572.5,2600,2600,2650,2650
"Wisconsin",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,865,850,850,865,875,895,850,825,797.5,865,937.5,850,850,875,870,895,900,910,950,895,865,900,950,930,850,925
"Minnesota",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1725,1847.5,1750,1750,1675,1700,1995,1800,1890,1737.5,1770,1995,2000,1895,1995,1895,1825,1800,1882.5,1900,1800,1900,1995,1895,1972.5,2010,1995,1772.5,2000,1995,1900,1900,1800,1900,1995,1995,2072.5,2000,1945,2000
"Colorado",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1795,1750,1750,1750,1850,1772.5,1895,1895,1850,1899.5,1850,1785,1700,1750,1750,1695,1995,1850,1870,1850,1850,1897.5,1865,1950,1900,1900,1950,1900,1950,1950,1950,2000,2150,2100,2062.5,2095,2000,2095,2000,1975,1995,1995,2200,2200
"Alabama",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1595,1400,1500,1500,1566,1495,1400,1450,1500,1300,1325,1472.5,1495,1425,1500,1500,1600,1625,1650,1500,1572.5,1597.5,1500,1500,1497.5,1500,1497.5,1500,1595,1575,1550,1562.5,1590,1675,1750,1697.5,1425,1575
"South Carolina",20,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1787.5,1900,1800,1800,1700,1800,1900,1800,1700,1725,1800,1800,1675,1800,1700,1800,1750,1750,1799,1795,1750,1900,1775,1700,1725,1795,1850,1850,1850,1825,1700,1700,1697.5,1750,1750,1785,1737.5,1797.5,1797.5,1800,1800,1795,1750,1795,1795,1797.5,1872.5,1950
"Oklahoma",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,1047.5,1200,1072.5,1000,950,1000,1072.5,995,1095,1000,1000,962.5,950
"Connecticut",22,,,,,,,,,,,,,1200,1200,1262.5,1397.5,1400,1400,1395,1275,1275,1300,1300,1350,1300,1375,1412.5,1500,1650,1550,1475,1350,1272.5,1200,1237.5,1200,1250,1300,1300,1300,1350,1395,1300,1250,1200,1200,1200,1200,1200,1200,1212.5,1200,1250,1300,1250,1250,1250,1250,1200,1300,1300,1300,1300,1300,1300,1300,1350,1250,1295,1275,1250,1250,1200
"Utah",23,,,,,,,,,,,,,,,,,1495,1595,1497.5,1350,1350,1345,1295,1295,1395,1395,1595,1400,1350,1400,1495,1495,1500,1400,1500,1450,1495,1495,1525,1550,1550,1595,1550,1550,1500,1485,1450,1425,1395,1400,1400,1500,1550,1600,1575,1595,1550,1545,1500,1450,1495,1595,1585,1495,1475,1560,1600,1560,1600,1595,1500,1595,1597.5
"Nevada",24,,,,,,1825,1947.5,1900,2047.5,2000,2000,1675,1700,1700,1700,1600,1700,1700,1700,1700,1795,1950,1900,1895,1775,1800,1700,1695,1730,1795,1750,1795,1700,1700,1695,1695,1695,1700,1700,1700,1700,1750,1785,1795,1795,1707.5,1700,1700,1750,1750,1750,1795,1795,1795,1800,1800,1795,1795,1799.5,1795,1795,1795,1800,1850,1950,1895,1895,1900,1825,1800,1850,1875,1900
"Idaho",25,,,,,,,,,,,,,,,,,,,,,,,,675,650,650,650,650,650,675,725,725,742.5,675,675,695,725,725,695,725,695,725,747.5,725,725,725,725,750,750,725,745,725,799.5,750,795,850,895,950,950,900,810,850,872.5,895,975,875,810,810,815,800,800,800,795
"Hawaii",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2500,2650,2750,2700,2300,2300,2500,2500,2500,2800,3000,3000,2950,2700,3000,2800,2750,2895,2800,2975,2700,2500,2500
"New Hampshire",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1225,1297.5,1350,1275,1395,1447.5,1600,1600,1500,1597.5,1500,1500,1500,1495,1397.5,1372.5,1300
