"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,2400,2400,2412.5,2495,2500,2600,2495,2400,2300,2400,2055,2095,2050,2100,2100,2100,2000,1995,1900,1900,1875,1850,1800,1800,1850,1790,1750,1800,1795,1750,1795,1770,1750,1700,1725,1750,1750,1745,1750,1750,1750,1695,1800,1895,1800,1900,1895,1850,1850,1850,1995,2000,2000,2050,2100,2069,2095,2100,2100,2100,2100,2200,2200,2250,2295,2300,2300,2300,2300,2300,2300,2350
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1010,1054,1058,1133,1130,1200,1175,1195,1240.5,1250,1250,1250,1250,1250,1275,1300,1350,1350,1375,1375,1350,1350,1350,1350,1350,1375,1395,1400,1425,1450,1450,1445,1400,1400,1400,1400,1400,1400
"New York",3,,,,,,,,,,,,,2875,2750,2850,3000,3000,2995,2932,2900,2800,2700,2700,2700,2550,2700,2650,2650,2710,2700,2700,2700,2700,2750,2750,2800,2800,2800,2800,2850,2900,2850,2745,2800,2850,2895,2900,3000,3000,3000,2950,2941.5,3000,3100,2982,2950,2900,2850,2850,2895,3000,3000,3000,3150,3000,3100,3200,3200,3195,3100,3100,3199,3200,3200
"Florida",4,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1449,1450,1450,1400,1400,1400,1375.5,1400,1445,1400,1400,1450,1400,1450,1400,1400,1400,1400,1400,1400,1450,1450,1489,1495,1550,1500,1550,1600,1600,1600,1600,1550,1500,1500,1595,1600,1600,1600,1600,1595,1550,1550,1550,1575,1600,1600,1649,1650,1650,1700,1650,1675,1700,1700,1700,1700
"Illinois",5,1632.5,1500,1500,1500,1500,1500,1500,1500,1500,1550,1575,1600,1500,1500,1500,1549,1550,1583,1597,1575,1555,1515,1500,1500,1500,1500,1545,1500,1500,1547,1525,1550,1500,1500,1480,1500,1500,1495,1500,1500,1510,1500,1550,1550,1550,1550,1529,1550,1536,1500,1500,1500,1599,1600,1600,1600,1600,1600,1550,1575,1562,1585,1599,1600,1600,1600,1600,1609,1600,1575,1595,1550,1550,1574
"Pennsylvania",6,,1400,1392.5,1400,1400,1400,1400,1400,1400,1397.5,1375,1350,1295,1250,1250,1300,1300,1300,1300,1300,1295,1200,1200,1200,1200,1200,1250,1267,1300,1295,1300,1250,1200,1200,1200,1195,1200,1200,1250,1250,1300,1295,1250,1200,1250,1250,1250,1250,1200,1200,1200,1250,1350,1385,1350,1300,1300,1295,1250,1250,1250,1295,1300,1350,1395,1399,1395,1350,1300,1300,1299,1275,1295,1295
"Ohio",7,,,1175,1200,1175,1200,1200,1200,1050,1050,1100,1050,895,875,855,980,1000,995,1000,975,975,950,900,895,950,950,949.5,825,800,850,840,850,850,850,885,832.5,800,799,800,800,815.5,801.5,800,825,900,975,900,995,928,910,900,900,1000,995,900,900,975,975,950,950,950,950,995,1000,1000,1050,1000,1000,1000,1000,1025,1000,1000,1000
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,799,800,800,800,820,850,850,800,805,850,850,850,850,800,800,800,850,850,850,850,850,850,900,900,895,900,895,877,895,895,900,900,900,900,925,950,865,920,900,900,925,950,950,950,965,950,975,990,990,975,975,950
"Georgia",9,1074.5,1150,1195,1200,1200,1200,1200,1200,1200,1195,1150,1200,1100,1100,1100,1150,1150,1150,1100,1100,1100,1095,1050,1050,1000,1000,1050,1000,1050,1050,1050,1050,1050,1000,1000,1000,1000,975,1000,1000,1050,1050,1050,1030,1050,1050,1050,1065,1050,1050,1050,1050,1095,1095,1099,1100,1100,1100,1100,1100,1095,1099,1100,1150,1150,1180,1165,1150,1149,1125,1150,1150,1150,1150
"North Carolina",10,,1000,995,1000,1095,1100,1100,1125,1145,1100,1100,1150,1000,995,995,1000,1000,1025,1000,1000,1000,995,995,995,995,995,1000,1000,1025,1045,1000,1000,995,995,995,975,975,968,977,995,1025,1045,1029,1050,1050,1050,1025,1000,1000,1000,1025,1050,1095,1099,1095,1095,1050,1050,1050,1050,1075,1057.5,1100,1100,1100,1100,1100,1100,1095,1095,1095,1075,1095,1100
"New Jersey",11,,1600,1600,1650,1650,1650,1600,1600,1600,1650,1650,1700,1675,1650,1650,1700,1750,1750,1750,1700,1675,1600,1800,1850,1800,1850,1875,1900,1950,1950,1900,1850,1800,1800,1800,1750,1775,1800,1800,1850,1950,1795,1750,1750,1700,1750,1700,1750,1750,1750,1750,1750,1850,1850,1850,1850,1800,1800,1750,1750,1800,1800,1850,1877.5,1900,1900,1900,1900,1850,1800,1800,1800,1850,1850
"Virginia",12,,1350,1350,1350,1400,1450,1500,1450,1395,1350,1375,1400,1350,1375,1400,1450,1500,1500,1500,1495,1427.5,1400,1395,1395,1395,1395,1400,1400,1475,1500,1500,1475,1450,1450,1450,1425,1400,1450,1495,1495,1500,1545,1525,1525,1550,1550,1500,1525,1500,1495,1495,1500,1595,1600,1650,1625,1600,1595,1595,1550,1550,1550,1575,1600,1600,1650,1650,1650,1600,1600,1595,1567.5,1550,1550
