"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,1550,1595,1535,1595,1550,1540,1500,1464,1425.5,1400,1240,1225,1250,1250,1250,1250,1250,1279,1275,1250,1250,1200,1250,1270,1275,1275,1275,1215,1195,1195,1175,1200,1195,1190,1195,1200,1395,1445,1460,1425,1450,1432,1450,1400,1375,1495,1529,1475,1450,1545,1650,1650,1675,1695,1700,1750,1770,1790,1790,1822,1835,1845,1860,1885,1892,1909,1915,1913,1955,1964,2000,2030
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,941.5,900,945,861,800,795,795,795,815,800,800,799,875,916,900,929,950,935,1046,1039,1051,1025,1120,1075,1060,1100,1096,1105,1095,1088,1085,1099,1100,1100,1100,1100,1094,1114,1105.5,1125,1115,1125,1135,1129,1195,1180,1195,1189
"New York",3,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2500,2571.5,2600,2600,2650,2675,2700,2750,2740,2700,2700,2700,2700,2695,2750,2700,2675,2700,2809,2800,2800,2850,2875,2775,2750,2700,2718,2790,2795,2800,2900,2400,2395,2400,2395,2383,2350,2350,2395,2400,2450,2500,2450,2400,2455,2400,2400,2375,2300,2300,2349
"Florida",4,,,,,,,,,,,,,,,1200,1150,1050,1050,1025,1050,1000,1000,1000,1000,1050,1100,1050,1050,1050,1050,1050,1050,1000,1000,1000,1000,1079,999,960,961,973,1030,1070,1176,1250,1300,1295,1262,1245,1200,1200,1220,1200,1200,1200,1200,1209,1200,1200,1185,1232,1250,1200,1205,1202,1300,1309,1300,1324,1350,1350,1371,1400
"Illinois",5,,1200,1300,1300,1200,1200,1172.5,1263,1395,1400,1401.5,1300,1280,1245,1276,1295,1400,1345,1295,1300,1295,1350,1400,1299,1250,1288.5,1350,1475,1525,1515,1500,1419,1450,1450,1475,1480,1550,1450,1422,1500,1555,1560,1560,1540,1500,1505,1578,1519,1463,1475,1495,1500,1557,1645,1500,1647,1630,1565,1360,1430,1600,1500,1461,1500,1500,1500,1450,1580,1600,1679,1575,1500,1600
"Pennsylvania",6,800,825,850,900,819,850,850,832,800,835,850,800,825,850,850,875,850,850,875,850,850,825,800,850,875,875,850,872.5,850,875,850,825,800,800,800,830,850,950,999,1075,1050,1000,980,950,950,975,995,950,950,950,1000,1100,1050,1049,1025,995,995,1000,1000,1000,1020,1087,1120,1120,1100,1095,1050,1045,1000,1115,1069,1149,1175
"Ohio",7,,,,,,,,772.5,775,800,750,650,625,600,650,600,600,595,589,585,650,649,585,600,639,615,599,600,599,585,585,595,600,599,587,575,575,600,630,649,649,630,615,595,600,600,625,600,612,625,650,639,625,640,650,650,650,684,695,699,735,755,765,789,750,745,735,725,720,799,800,794,781
"Michigan",8,,,,,,,,,,,,700,675,675,697.5,677.5,662.5,655,675,623,625,620,600,627,641,650,640,649.5,625,625,600,625,625,625,600,600,650,690,655,665,660,649,635,695,700,700,712.5,725,750,750,750,770,760,750,795,789,785,787,783,795,772,800,844,845,874,765,750,795,848,895,880,860,830
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,1039,1000,1013,995,994,999,995,1000,1000,1015,1039,1031,1038.5,1075,1100,1074,1100,1095,1059,1210,1210,1211,1205
"North Carolina",10,575,620,625,662.5,597.5,612.5,650,650,600,625,695,675,695,699,675,660,675,675,700,699,685,650,650,650,700,745.5,745,740,712.5,679,685,695,695,687,650,680,695,765,801,818,847,847,825,800,799,769,799,800,800,795,805,825,850,839,849,830,840,850,870,875,871,890,899,900,910,910,930,950,946,1039,1015,1026,1044.5
