"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,,,,,,,,,,1595,1591,1600,1395,1400,1400,1450,1450,1450,1450,1473,1450,1400,1400,1400,1420,1425,1475,1456,1450,1475,1465,1500,1525,1495,1469,1450,1425,1451.5,1495,1480,1495,1485,1495,1499,1600,1600,1500,1635,1650,1600,1595,1621,1750,1750,1755,1795,1805,1845,1850,1850,1850,1895,1895,1909,1925,1950,1950,1995,2000,2000,2000,2000,2061.5,2100
"Texas",2,,950,950,995,995,1050,975,945,900,945,949,912,875,895,900,895,895,900,895,789,795,776,800,818,843,899,923,895,900,906,900,910,930,925,932,950,998,950,972,966,975,980,1010,975,1075,1095,1112,1100,1140,1090,1085,1101,1100,1120,1100,1100,1100,1100,1110,1100,1100,1105,1100,1150,1146,1153,1150,1153,1159,1150,1200,1192,1200,1200
"New York",3,,,1900,2100,2000,2250,2025,1950,1950,2125,2000,2200,2000,1995,2300,2425,2450,2350,2400,2495,2395,2350,2400,2400,2400,2500,2500,2550,2600,2612,2650,2695,2700,2700,2700,2695,2645,2705.5,2700,2750,2800,2815,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2463,2410,2450,2400,2400,2400,2400,2415,2450,2500,2500,2500,2499,2500,2500,2480,2400,2400,2400,2400
"Florida",4,,,,,,,,,,,,,,1375,1350.5,1375,1350,1300,1300,1300,1300,1295,1250,1275,1250,1250,1250,1250,1250,1275,1250,1250,1200,1200,1200,1197,1130,1150,1187.5,1200,1200,1215,1325,1300,1350,1400,1400,1400,1400,1350,1300,1300,1360,1350,1375,1375,1400,1395,1350,1350,1350,1400,1400,1399,1435,1450,1550,1600,1550,1595,1595,1595,1600,1625
"Illinois",5,1550,1300,1295,1295,1295,1295,1250,1275,1295,1365.5,1375,1400,1300,1310,1300,1350,1350,1400,1370,1350,1360,1350,1329,1350,1350,1340,1325,1305,1350,1350,1373,1395,1400,1430,1395,1400,1395,1500,1459,1475,1500,1535,1548,1550,1545,1500,1500,1550,1500,1475,1490,1495,1523,1561,1626,1538,1625,1615,1550,1450,1495,1599,1502,1500,1550,1545,1540,1500,1580,1595,1643,1565,1525,1600
"Pennsylvania",6,,,1150,1175,1200,1250,1200,1200,1050,1050,1081.5,1050,1000,1000,1019,1100,1150,1090,1050,1050,1000,975,980,995,1000,1070,1095,1120,1150,1140,1110,1100,1057,1010,1026.5,1000,995,1047.5,1063,1100,1150,1130,1100,1049,1075,1019,1025,1050,1020,1025,1050,1099,1200,1200,1175,1150,1100,1100,1100,1099,1100,1100,1175,1200,1200,1200,1200,1175,1150,1125,1200,1150,1200,1200
"Ohio",7,,,,,,,,,,670,650,650,629,627,625,650,650,650,650,650,650,625,649,649,665,675,675,649,640,630,630,650,650,650,650,649,634.5,650,672,659,669,650,650,649,635,650,625,665,650,650,650,675,675,675,625,640,695,699,700,714,708,749.5,767,761,800,775,770,755,750,750,805,815,800,799
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,900,900,950,950,985,855,858,900,945,975,970,950,905
"Georgia",9,,1050,1050,1085,1100,1100,1100,1050,925,900,925,1000,920,950,950,950,950,950,900,900,925,844,825,850,828,875,861,853,871,850,865,895,874.5,875,867,858,850,875,890,895,899,905,920,919,973,975,950,995,1020,1000,1000,1025,1000,1004,1000,1000,1000,1000,1014,1000,1009,1030,1030,1064,1095,1109,1100,1100,1100,1100,1204.5,1200,1200,1200
"North Carolina",10,,,875,895,900,895,895,895,895,895,895,895,800,800,825,800,795,800,795,800,800,775.5,789,790,799,803,810,809,812,810,810,840,836.5,839,823,805,800,825,849,850,859,855,859,842,850,850,845,850,850,850,849,850,875,895,875,875,865,870,875,895,895,880,899,900,900,900.5,905,925,923,925,1000,985,995,1010
