"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,19050,15010,15000,14000,14900,15000,14900,15000,15000,15000,15000,14900,14500,14900,14000,11100,13900,13600,14000,15000,15000,15900,16000,15950,15000,15000,15000,14000,14535,15000,16000,16000,18500,19100,16100,15000,14001,14000,11000,10401,10100,10100,11000,11000,11400,12527.5,12000,11000,11000,10400,10002.5,10000,10000,10001,11000,14000,14000,14000,14000,13000,13000,13740,12500,11000,12000,11819.5
54,"Texas",2,7000,6031,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5508,5900,5888,5900,5500,5500,5500,5416.5,5500,5500,5803,5125,5500,5900,6000,5900,6000,5900,5500,5900,5675,5900,6000,5900,6000,6100,6225,6600,6497,6100,6100,7000,6000,6600,7500,7500,8000,9000,9000,9100,9000,8153,8600,8674,7700,7500,8500,9000
43,"New York",3,14000,12100,11000,11100,11000,11000,13000,11000,10900,10900,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9973.5,10000,10000,10000,10000,9900,9900,9150,9100,9000,9000,9000,9000,9100,9600,9100,9300,9000,9000,9100,8900,8600,8000,9000,9000,9000,9000,9000,8900,8500,8000,8000,8000,8000,8000,8000,8100,9000,8644,9000,9100,9000,9000,9000,9000,9000,9000,9100,9100,9900,10000
21,"Illinois",5,10000,10000,9500,9500,10000,9900,9400,9100,9100,9600,9000,9000,9000,9100,8000,7900,8100,8500,8000,9000,8000,7600,7800,7500,7100,7000,6000,6100,6000,6400,6000,6500,6100,6300,7000,6005,6100,6500,6000,6000,6350,6270,6200,6000,7000,7000,7000,6600,7000,7000,6300,6125,6000,6600,6000,7000,7000,7100,7000,6100,6500,6000,5900,6000,5600,6000
47,"Pennsylvania",6,8974.5,8000,7400,7400,7400,7000,7200,7000,7100,7400,7500,7307.5,7000,7400,7100,7000,6900,6400,6600,6200,6687,6600,6000,6000,6000,6000,5500,6000,5900,5600,5500,5600,6000,5900,6000,5900,6000,5900,5900,5600,5500,5400,5100,5600,6000,6000,5900,5900,5900,5900.5,5400,5740,5100,5500,5400,5900,6100,6000,6000,5900,6000,5900,5300,5600,5100,5200
44,"Ohio",7,5900,5100,5100,5077.5,5100,5350,5100,5000,5000,5100,5000,5000,5000,5000,5000,5000,5099.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,8000,7000,7000,6000,6000,5900,5760,5900,6000,6360,6499.5,6000,6000,5780,5100,5100,5100,5099,5400,5600,5100,5500,5900,5400,5400,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5400,5100,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5100,5100,5000,5000,5000,5000,5000,5000,5000,5100,5112,5900,5500,5100,5000,5000,5000,5000,5000
16,"Georgia",9,10000,10000,10000,9850,9900,9901,9400,9850,9500,9841,9400,9100,9300,9100,9100,9000,9000,9000,9500,9900,9800,10000,9900,9100,9000,8900,9100,8500,8900,9000,9000,8500,9000,9000,9100,8500,8000,8000,7064,7400,7000,6000,7000,7000,7350,7000,7100,6000,6000,6000,6000,6000,6000,6000,6100,6600,7000,6500,6000,6000,6000,6000,6000,5800,5900,6000
36,"North Carolina",10,10000,9900,9100,9001,9000,8545,8600,8100,8900,9001,9100,9000,9000,8100,8100,8000,8000,8000,7737,8000,8000,7900,7900,7600,7240,7000,7000,7000,7000,7000,6500,6500,6900,6600,7000,7000,6100,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5500,5500,5500,5500,5505,6000,6000,6700,6500,6000,6000,6000,5900,6000,6000,6000
40,"New Jersey",11,15000,14000,13000,12000,12000,13000,12400,12000,11500,12500,11150,11000,12000,12400,10900,10400,10900,10900,10900,10900,10900,10900,10100,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
56,"Virginia",12,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9999.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9122.5,9000,9100,9100,9900,10000,10000,10000,9900,9957.5,9500,9000,8600,9000,8500,9000,10000,10000,10000,10000,9900,9901,10000,9000,8400,8000,9000
59,"Washington",13,13000,10990,10050,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
26,"Massachusetts",14,10500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
22,"Indiana",15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
8,"Arizona",16,9100,8000,8000,8000,8350,8000,9000,8500,9000,9000,8100,9000,9000,9000,9100,8900,9100,9900,10000,10000,10000,9500,9000,8000,7500,7088,6550,8000,7967.5,7500,8000,8000,7000,7500,7000,6000,5500,5500,5100,5258,5600,5900,5800,5500,5200,5100,5100,5000,5099,5100,5000,5100,5450,5900,6000,5950,5900,5779,5400,5100,5100,5100,5001,5100,5500,5900
53,"Tennessee",17,7000,6000,6000,6000,6200,7000,6000,6000,5900,6400,6000,6000,5695,6000,5900,6000,5900,5550,5400,5600,5100,5200,5100,5347,5100,5100,5005,5100,5100,5100,5050,5000,5000,5013.5,5000,5000,5025,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5095,5000,5000,5000,5000,5000,5100,5050,5100,5400,5100,5100,5100,5100,5100,5100,5100
32,"Missouri",18,6100,5900,5950,6400,6000,6000,5400,5100,5100,5200,5400,5100,5100,5100,5100,5100,5270,5100,5000,5000,5000,5100,5000,5000,5000,5000,5000,5050,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
27,"Maryland",19,11000,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
60,"Wisconsin",20,9500,8500,8000,8000,7000,7045,7000,7425,7500,8000,8100,8000,8000,7600,7100,6900,7000,7000,6000,7000,7000,7000,7000,6900,6000,5855,6000,6000,6000,5500,5400,5100,5400,5400,5900,5900,5100,5100,5400,6099.5,5400,5100,5000,5000,5400,6000,6000,5900,5400,5100,5000,5100,5000,5000,5000,5100,5400,6000,6000,6000,5500,5100,5032,5100,5100,5000
31,"Minnesota",21,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9901,10000,10000,10000,10000,10000,9600,9800,9600,9900,9900,9900,9900,9400,9492.5,8600,8500,9100,8000,8000,8000,8000,8000,9100,8530,9000,8000,8000,9100,8300,8100,7000,7000,8000,8010,8100,8000,7900,7600,7600,7600,7500,6950,7300,8000,9600,9900,9900,9100,9100,8000,8000,7600,7900,8000.5
10,"Colorado",22,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9600,9100,10000,9900,10000,10000,9500,10000,10000,10000,10000,9900,9500,8000,9100,9000,9000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4,"Alabama",23,7600,7000,7100,7000,7001,7000,7000,7000,7400,7000,7000,6999,7000,6600,6400,6000,6000,5800,6000,6000,6000,6000,6000,5900,5600,5400,5400,5400,5100,5600,5100,5100,5100,5400,5400,5500,5100,5100,5500,5900,5600,5712,5000,5100,5100,5100,5100,5100,5100,5796,5100,5400,5100,5100,5400,5100,5100,5100,5100,5100,5000,5000,5000,5000,5050,5000
51,"South Carolina",24,9900,9000,9000,8000,8000,9000,8000,8000,8000,8100,8935,8000,8000,8000,8000,10000,8400,7505.5,7500,7600,7200.5,7000,7000,7350,6700,6000,6900,7400,6500,6000,6000,6000,5900,6000,5900,5600,5999,5900,5400,5999,6000,5400,5900,5300,5400,5500,5400,5100,5100,5100,5000,5000,5100,5000,5100,5800,5500,5200,5100,5100,5100,5100,5100,5100,5100,5100
25,"Louisiana",25,8000,7500,7925,7500,7900,7000,6500,7000,7000,7000,7300,6900,6400,6400,6200,7000,6000.5,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,6000,6400,6100,6200,6100,5900,6000,6260,6400,6000,6000,6000,6000,5500,5900,6000,6000,5950.5,6000,6000,6500,6000,5900,6000,6000,6200,6500,6000,6100,6000,6000,6000,6100,6000,6000
24,"Kentucky",26,5400,5000,5000,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
46,"Oregon",27,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9950,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
45,"Oklahoma",28,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
11,"Connecticut",29,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
19,"Iowa",30,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
34,"Mississippi",31,7100,7000,6150,6000,6500,7000,6500,6000,6480,6400,6700,6900,6480,6991,6900,7000,6400,5860,6000,5500,6000,5900.5,5400,5900,5500,5500,6000,5900,6000,5500,5400,5500,5400,5700,5400,5500,5100,5500,5400,6000,5400,5463.5,5100,5100,5100,5000,5065,5100,5100,5300,5900,6000,5500,5025.5,5362.5,5500,5600,5500,5500,5600,6000,5400,5000,5001,5100,5000
6,"Arkansas",32,8000,7000,7100,7575,7958,8000,7100,6100,6000,6500,6075.5,6400,6000,7000,6000,6000,6000,6000,5900,5600,5975,6000,5900,6000,5500,5100,5100,5600,5400,5100,5100,5100,5000,5000,5100,5100,5100,5000,5000,5100,5094.5,5000,5000,5000,5000,5000,5000,5000,5000,5005,5000,5000,5000,5000,5000,5000,5000,5100,5100,5100,5003,5000,5000,5500,5000,5000
23,"Kansas",33,5450,5099,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
55,"Utah",34,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,9500.5,10000,10000,9900,10000,9000,9100,8001,9100,7000,8000,8400,8500,8000,9000,8004.5,8000,7000,7400,7100,6000,6000,6000,6000,6100,6000,7900,8000,7000,6000,6000,5900.5,6500,6500,7000,8000,10000,9500,9600,10000,9100,9675,9100,10000,10000,10000
42,"Nevada",35,10000,9000,9000,9000,8000,8000,8500,8000,7999,7500,7400,7030,7300,7000,7000,7000,7600,8000,9050.5,10000,10000,10000,10000,10000,10000,10000,8002,9000,9000,10000,10000,10000,10000,9900,9667.5,10000,9100,9000,8700,8000,9000,8300,7800,7500,9000,8000,8000,8000,7545,7000,6000,7000,7388,6100,7500,8650,9000,8300,8000,8000,7000,6500,6000,6500,8000,7000
41,"New Mexico",36,10000,10000,10000,10000,10000,10000,9600,10000,10000,10000,10000,10000,10000,10000,10000,9999,9900,9000,9000,9500.5,10000,9900,9600,9500,9100,8000,8100,9125,9250,9000,8500,7900,8000,8600,8944,9000,9000,9500,8000,10000,9000,7500,7000,7100,7500,8000,8250,8900,8000,8000,8000,8000,8000,6799,6500,6900,7500,7500,9000,7250,7500,6900,7000,7500,7500,7100
61,"West Virginia",37,9000,10000,9000,8000,9300,8400,7900,9100,9100,8000,9000,9000,8000,7730,8000,8750,7900,8000,7400,7000,7800,7000,7187,7000,6050,7000,7400,7000,8000,7000,6000,6900,6000.5,7000,7100,6900,7000,7000,6000,6000,5400,6000,6000,6000,6550,7000,6000,6900,6800,6000,6000,6000,6000,6000,6000,6000,6900,6500,7000,6500,6000,6600,6250,6050,6000,6000
38,"Nebraska",38,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5050,5000,5000,5000,5000,5000,5000,5000,5000
20,"Idaho",39,9800,9000,9000,8500,9000,8000,8100,8000,8000,9100,9000,9100,9100,8100,8300,7300,7900,9900,8625,9100,9000,8000,9001,9100,9000,6000,6000,6100,6000,5900,5115,5950,6000,6900,6050,6000,6000,5500,5100,5100,5200,5000,5000,5000,5100,5100,5640,6000,6000,5100,5000,5000,5100,5100,5000,5100,5100,5400,5510,5800,5100,5100,5000,5900,5100,5000
18,"Hawaii",40,24000,20000,20000,21000,21000,20150,19600,20000,20000,20000,20000,19000,20000,20000,19100,20000,20000,20000,19100,19725,20000,20000,18500,19050,19550,20000,20000,20000,20000,20000,19000,20000,19900,19000,20000,20000,20000,16250,16000,19000,16000,20000,17500,20000,20000,20000,18000,18100,19499.5,20000,16000,20000,19999,20000,17000,15500,18944,20000,19000,19000,19000,20000,20000,19900,20000,20000
28,"Maine",41,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,9100,9500,9411,8500,10000,10000,10000,9600,9100,8900,9000,8000,7100,7000,8000,9000,9100,9100,10000,9900,9000.5,9000,9100,7800,8000,9100,9000,10000,10000,10000,10000,10000,10000,9000,10000,9050.5,8100
39,"New Hampshire",42,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
50,"Rhode Island",43,14000,10812.5,10000,10000,10000,10250,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
35,"Montana",44,13056,12500,12500,14500.5,10100,15000,11000,11000,11500,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10100,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,8600,10000,10000,10000,10000,10000,10000,10000,9136,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
13,"Delaware",45,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9980,8400,10000,10000,10000,10000,9900,10000,9901,9000,9000,9600,9100,10000,9900,9000,9900,9000,9100,9900,10000,10000,9000.5,9100,9000,7900,8000,9100,8400,9000,8550,9001,9100,7500,7500,8000,9100
52,"South Dakota",46,6100,5100,5100,6000,5500,5900,5125,5100,5000,5000,5100,5000,5000,5100,5000,5950,5000,5000,5000,5000,5000,5000,5000,5050,5100,5100,5000,5100,5000,5000,5000,5000,5100,5100,5450,5000,5450,5000,5000,5000,5000,5000,5000,5000,5500,5100,5000,5600,5450,5100,5000,5050,5000,5000,5050,6000,5400,7000,6000,6000,6000,5100,5100,5550,6000,5000
3,"Alaska",47,10000,7600,7500,7947.5,7100,8000,8775,8050,8000,7515,7900,8000,7000,6500,6700,8000,6000,7600,5500,7000,7000,7000,8600,8000,7000,6000,6000,6900,7500,6000,6000,5100,6000,6000,6000,6100,6000,6000,6000,6700,6000,6500,6000,5100,6000,6000,6000,6000,6100,5900,5000,5500,6200,7100,6000,6000,6000,6000,7000,6900,6600,7000,6000,7450,7000,6000
37,"North Dakota",48,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5000,5000,5000,5000,5100,6000,5000,6000,5000,5400,5000,5350,7500,7600,8000,6750,7000,6350,6900.5,7000,5912,5500,6300,5001,8000,7200,5100,8900,6000,7000,6500,8850,7000,6000,7000,6000,7500,7000,6875.5,7400,8395,8900,9000,7900,7500,7750,7100,8600,7600
58,"Vermont",49,13000,10425,12000,12500,10100,10000,10900,11000,10000,10500,13700,10900,10000,10000,10000,10000,14000,11200,10900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
12,"District of Columbia",50,20000,15000,15000,14900,15000,10000,11000,10001,14900,15000,14150,15000,15000,15400,16000,14999.5,15300,15500.5,15000,15000,15500,15350,15000,18000,15500,16000,18500,14000,19500,20000,15000,16450,20000,20000,20000,14000,20000,19600,20000,16000,14950,15000,15000,15000,20000,16750,18000,15000,19001,16000,14997,15000,15000,15500,19995,20000,19100,20000,19000,16000,19600,20000,20000,17500,15950,20000
62,"Wyoming",51,10000,9995,9500,9000,10000,10000,10000,9600,9950,9100,10000,10000,10000,10000,10000,10000,10000,9100,9000,9052.5,10000,9310,8500,10000,8000,7600,8900,9000,9050,9000,7000,6000,7000,8000,9500,9000,9000,6500,7000,8050,7041,7400,8000,6499.5,7250,8000,8000,9000,9075,7100,8000,6000,9100,6900,8100,9000,8900,9000,9000,8000,9025,9000,8500,6500,9980,7550
