"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,15000,14000,13000,12100,13844,14000,12000,12750,11000,13000,11000,11000,10900,11100,10900,10000,10900,11000,11000,11500,12000,13500,13000,14000,12394,12899.5,13000,11000,12000,13100,15000,12750,13000,14000,12046,11000,10053.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,10100,10000,10100,10000,10062,10099,10100,10000,10000,10000
54,"Texas",2,6000,5500,5400,5490,5500,5100,5000,5000,5000,5000,5001,5000,5100,5000,5065,5500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5050,5000,5095,5000,5000,5100,5100,5100,5100,5000,5850,5100,6000,6000,5100,6000,7000,6000,8000,7900,7000,6400,7500,7000,7000,7100,7000,7000,8450
43,"New York",3,16000,15000,15700,15000,16000,17000,15000,14000,14000,14000,14000,11899.5,14000,14000,13000,12000,13350,14000,10994.5,10000,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,11000,10000,10000,10256,10777,10000,10000,13000,15000,15000,10000,14000,14000,14000,15001,15000,14000,14000,10009,15000,20000,20000,14000,20000,17000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9500,9100,10000,10000,9100,8100,8000,7600,7400,8000,7900,8000,8000,7500,7600,7500,8000,7000,7000,7600,7400,7000,7000,7000,7400,8000,7635,7300,7000,6800,6600,6600,6000,6000,6000,6000,6600,6400,7000,6500,7599.5,7000,6700,6600,6710.5,7000,7350,7500,8000,9000,9500
21,"Illinois",5,10000,10000,9987,9900,10000,10000,9800,9900,9100,9900,9875,9000,9100,9500,8400,8800,9000,9000,8000,9000,7916,7000,8000,8000,7027.5,7900,6000,6000,6000,7000,6075,6500,6000,6400,8000,7000,8010,8000,7400,7000,7350,7901,7850,7500,7400,7500,7000,7000,7900,8470,7900,7405,7100,7200,7000,7000,6500,6100,6000,6000,7000,6000,6000,6000,5600,5900
47,"Pennsylvania",6,5100,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
44,"Ohio",7,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,4600,5000,4900,4100,4100,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,6116.5,5900,5925,6100,5900,6000,6000,5900,5900,5500,5830,5100,5145,5100,5000,5500,5100,5000,6000,6000,5400,5100,6530,5150,5100,5900,6000,7950,5000,5000,5099.5,5845,5500,5000,5500,5900,5100,5000,5000,5000,5000,5000,5000,6000,5000,6000,5100,5045.5,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5500,5000,5100,5000,5000,5000,5000,5000
16,"Georgia",9,10000,10000,9150,9000,9100,10000,8910,9100,7100,8900,8100,7350,8000,8785,8000,7000,9161,7900,7650,8230,8600,10000,8000,8000,9900,7500,9050,8900,8000,10000,9850,9650,8000,7400,9000,7000,7400,8000,7100,7000,7000,5400,6900,5500,6000,5000,5100,5100,5100,5000,5000,5100,5112.5,5100,6000,5500,6000,5500,5000,5100,5100,5100,5100,5000,5437,5100
36,"North Carolina",10,8000,7400,6000,7000,7900,7200,6000,6000,6000,6000,6600,6000,6000,5600,6273,6600,6500,5900,5900,6000,5100,5100,5400,5540,5100,5400,5000,6000,5100,5000,5000,5000,5000,5500,5000,5010,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5050,5000
40,"New Jersey",11,11100,10900,10500,13000,10900,10900,10020,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
56,"Virginia",12,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,9901,9000,9757,10000,10000,9999,9750,9300,9829,9596,9900,7543,8102,8000,8000,6750,9000,7700,7700,9000,9050,7500,8100,9000,7500,6600,8000,7850,8000,7000,7000,7300,7000,7400,7000,7000,7100,7000,7000,7100,6500,6000,7000,6000,7000,7000,7000,7100,6979.5,6000,6600,7500,6100,6000,6000,6994
59,"Washington",13,11500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9000,10000,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9500,9850,9000,8500,9525,10000,9977,9950,9900,10000,10000,10000,9000,10000,10000,9600,9112,10000,10000,10000,10000,10000,9100,9944,9200,10000
26,"Massachusetts",14,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9501,9600,10000,10000,7550,9000,9500,10000,10000,10000,10000,10000,10000,10000,10000,9100,8000,7900,8000,9900.5,10000,10000,8500,9900,9901,9947.5,9000,9000,9100,7600,9000,10000,10000,10000,9100,9000,10000,10000,9100,10000,10000,10000
22,"Indiana",15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5400,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5000,5000,4900,5000,5000,4900,5000,5000,5000,4900,4500,5000,4900,4050.5,4500,4950,4900,5000,5000,5000,5000,4999,5000,4000,4000,4100,4999,5000,5000,4999.5,4500,5000,5000,4600,4000,4000,4000
8,"Arizona",16,7497.5,6000,6000,6000,7000,7000,7000,6000,6500,6000,5910,6000,5400,6000,6600,6000,6000,6000,6000,6800,5650,5000,5000,5000,5850,5100,5000,5500,5400,5006,5100,5250,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
