"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,20000,16000,15000,14900,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14070,12000,14000,14000,14900,15000,15400,16000,17600,16000,15500,15100,15000,14900,15000,15000,16000,17000,20000,20000,19100,15000,15000,14600,12505,11000,10900,11000,12000,12000,13500,14000,14000,12000,11888,11000,10100,10000,10500,10425,11500,14001,14100,14910,14000,14000,14000,14000,13000,11950,13600,12500
54,"Texas",2,7000,6100,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5992.5,5800,6000,5900,5900,5610,5500,5500,5500,5600,5600,5900,5300,5500,5900,6000,6000,6000,5900,5600,6000,5900,5900,6000,5900,6000,6450,6490,6900,6505,6390.5,6400,7000,6000.5,6900,7600,7500,8000,9000,9000,9100,9000,8400,8950,8900,7800,7500,8600,9000
43,"New York",3,13000,11000,10001,10900,10000,10000,11000,10400,10001,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9700,9100,9100,9100,9200,10000,10000,10000,9995,9286,9100,9600,9000,9000,8500,9100,9100,9003,9100,9100,9100,9001,8900,9000,8999.5,8600,9000,9000,9000.5,9775,9001,9600,9500,9500,9100,9100,9100,9100,9100,9900,9500,9950,10000
21,"Illinois",5,10000,10000,9100,9100,9900,9725,9100,9000,9100,9540,9000,9000,9000,9000,8000,7547.5,8000,8100,8100,8900,8000,7945.5,7600,7500,7100,6900,6000,6500,6000,6100,6000,6500,6100,6200,6500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6835,7000,6900,6500,6600,6400,6000,6000,6000,6400,6000,7000,7100,7400,7000,6400,6400,6000,5900,5950,5637.5,6000
47,"Pennsylvania",6,9100,9000,8000,8000,8000,7998,8000,7580,8000,8000,8472,8000,8000,8100,8000,7900,7400,7000,7100,7000,7000,7379,7000,6905,7000,6325,6000,6900,6000,6000,6000,6000,6000,6000,6100,6000,6100,6000,6000,6000,6000,5900,5900,6000,6250,6500,6000,6000,6000,6000,6000,6000,5900,6000,5996,6000,7000,6500,6400,6000,6400,6000,5500,6000,5900,5900
44,"Ohio",7,6000,5397.5,5100,5100,5500,5400,5100,5099,5100,5100,5075,5100,5100,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,8000,7000,7000,6000,6000,5900,5700,5900,6000,6500,6502.5,6000,6000,5900,5100,5040,5100,5100,5300,5500,5100,5500,5900,5400,5400,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5400,5100,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5100,5100,5001,5000,5000,5000,5000,5000,5000,5100,5200,6000,5640,5100,5000,5000,5000,5000,5000
16,"Georgia",9,10000,10000,10000,9900,9900,9900,9500,9900,9600,9900,9500,9400,9500,9100,9100,9100,9000,9000,9600,10000,9900,10000,9900,9400,9000,9000,9100,8495,8999,8850,9000,8300,9000,9000,9100,8600,8000,8000,7000,7497.5,7100,6100,7000,7000,7400,7027.5,7500,6000,6000,6100,6000,6000,6000,6000,6100,7000,7000,6900,6400,6100,6000,6000,6000,5900,5900,6000
36,"North Carolina",10,10000,9988.5,9600,9100,9000,9000,9000,8600,9000,9200,9500,9100,9000,9000,8600,8000,8100,8000,8000,8000,8100,8000,8000,8000,7500,7000,7000,7000,7100,7000,7000,7000,7000,7000,7100,7000,6500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6100,6000,6000,6000,5900,5900,5900,5900,6000,6000,6700,7000,7000,6400,6000,6000,6000,6100,6000,6000
