"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,151600,151700,151400,151100,150900,150700,150600,150800,151100,151600,152100,152500,152800,153200,153300,153400,153400,154000,154700,155600,156700,158100,159900,160000,159800,160600,162400,163900,165300,166300,167300,168300,169400,170700,171800,173300,174600,175800,177000,178500,179900,181400,183200,185100,187100,189500,191900,194400,196800,199200,201500,203600,205600,207700,209900,212200,214600,217000,219700,222700,225300,227400,229600,231900,234200,236500,238600,240800,243300,246000,248900,251900,255100,258900,262800,266900,271100,275500,279800,284200,288500,292800,297000,301300,305300,309000,312700,316900,322000,327500,333500,339800,346100,352800,360000,367600,375900,385100,394600,404000,412900,420700,427600,433600,439300,444900,450500,456200,462100,468000,473600,479900,486300,492000,497000,501800,505400,507400,508900,510800,512000,512400,512300,511500,509800,507600,505100,502200,499400,497000,495000,492700,490200,486900,482700,477700,472400,467000,461500,455400,447900,439400,430000,419900,409300,399300,389700,380100,370700,362100,354000,346100,340200,336900,333800,329800,326000,322600,319600,317300,315600,314700,314400,314600,314800,314900,314800,314700,314700,314600,314100,313000,311500,310000,308700,307500,305900,303800,301800,299600,297100,294700,292600,290900,289400,288100,287200,287000,287100,287200,287100,287600,288700,290300,292200,294600,297200,300000,303000,305900,309300,313300,318200,323800,330000,336600,343600,350800,357800,363800,369200,374000,378100,381000,383200,386000,389800,393400,395700,397200,398700,400100,401200,402500,403900,405200,407700,410900,413100,414400,416000,417900,420100,422200,424100,426400,428900,431100,432800
54,"Texas",2,70200,70100,70400,70500,70700,70800,71600,73600,75600,76300,76500,76900,77300,77600,77900,78500,78900,79200,79600,79800,79900,80200,80500,80800,81100,81300,81600,81900,82200,82500,82500,82500,82700,83300,83900,84400,85000,85800,86600,87400,88000,88600,88900,89000,89400,89700,89600,89400,89600,89900,89900,90000,90400,91000,91400,91600,91800,91900,92000,92000,92100,92300,92600,92800,92900,93000,93400,93800,94100,94500,94900,95200,95500,95900,96400,96800,97300,97800,98300,98900,99200,99600,99900,100200,100500,101000,101400,101700,101900,102100,102300,102300,102800,103800,105300,107000,108500,109500,110500,111200,111900,112600,113300,113800,114200,114600,115100,115500,115700,116000,116300,116600,117000,117300,117600,117800,118100,118600,119100,119700,120200,120600,121000,121500,122100,122700,123000,123400,123800,124200,124500,124800,125200,125600,126100,126500,126600,126800,127000,127300,127200,126100,124500,122800,121300,120100,119200,118500,118300,118300,118300,118300,118600,118700,118900,119100,119200,119100,119100,119000,118900,118700,118200,117700,117300,117000,117100,117600,117800,118100,118300,118300,118100,117900,117300,116700,116000,115700,114700,113500,113400,113800,113800,114200,114400,114400,114900,115400,115900,116700,117600,118100,118000,117100,116500,116400,116300,115900,115800,116300,116900,117000,117600,118800,120400,122400,123600,123200,123000,123700,124300,124200,124200,124500,124900,125000,124600,124200,124200,124500,124900,125300,125900,126900,127900,128700,129800,131200,132600,134000,135300,136500,137400,138300,138900,139400,140000,140700,141300
43,"New York",3,84500,84500,84500,84500,84500,84400,84600,84900,85300,85600,85800,85800,85700,85700,85800,85800,85700,85600,85600,85700,85900,86300,86600,87100,87500,87700,87500,87200,87000,87100,87200,87500,87600,87500,87700,88100,88300,88600,89100,89500,90000,90300,90500,90700,90700,90900,91200,91500,91600,91900,92200,92400,92800,93200,93400,93600,93900,94400,95000,95700,96400,96800,97000,97200,97400,97700,98000,98300,98700,99200,99600,99900,100300,100800,101300,101700,102300,103000,103800,104700,105400,105900,106500,107300,108100,109000,110100,111300,112200,112900,113800,114500,115200,115600,116100,116900,117800,118500,119300,120300,121500,122600,123500,124400,125200,125800,126500,127400,128100,129000,130100,131000,131900,132900,133900,135000,135400,135600,135900,136300,136500,136900,137500,138000,138300,138600,139000,138600,141400,146600,149800,149800,150300,150800,151100,151400,151900,152300,152600,152600,152400,152400,152300,152100,152100,152200,151900,151700,151700,151500,151100,151500,149000,144600,142600,143400,143400,143200,143100,143100,142900,142700,142500,142500,142800,143100,143000,142900,142900,143100,143200,143000,142500,142200,142100,142000,141900,141600,141300,141000,140900,140800,140400,139800,139500,139400,139200,139000,138800,138700,138700,138500,138300,138200,138100,138300,138600,138600,138600,138600,138800,139100,139300,139300,139500,139800,140200,140800,141200,141400,141900,142400,142800,143100,143300,143400,143200,142800,142600,142400,142000,141700,141500,141300,141500,141900,142300,142700,142900,142900,143000,143100,143400,143600,143800,144000,144300,144600,144800
14,"Florida",4,89800,90300,90400,90400,90500,90400,90500,90700,90900,91200,91500,91900,92100,92300,92400,92600,92900,93400,93600,93800,94200,94800,95500,96100,96300,96500,96800,96900,97000,97100,97300,97700,98200,98900,99600,100100,100500,100900,101500,102000,102400,103000,103700,104400,104900,105500,106300,107100,107800,108400,109000,109800,110600,111400,112100,112800,113400,114400,115200,115900,116600,117400,118200,119100,120100,121000,122000,122800,123600,124600,125800,126900,128000,129000,129800,130900,132100,133200,134200,135500,136800,138000,139300,140700,142100,143300,144800,146100,147200,148500,150200,152100,154000,155700,157700,159700,162000,164500,167100,170100,173300,176500,179800,183300,187000,190600,194400,198800,204100,209800,215700,221600,227600,233300,238700,243600,247900,251300,254300,257100,259600,261100,261700,261800,261600,260700,259400,257800,256000,254200,252200,250000,247400,244800,241800,238900,235800,232600,229400,226400,222800,218700,214300,209900,205500,201300,197400,193600,189700,185500,181300,177000,173700,171900,170200,167500,164400,161600,159100,157000,155300,153800,152600,151800,150900,149700,148500,147300,146100,145200,144300,143100,141700,140400,139300,138000,136700,135600,134600,133600,132500,131500,130500,129600,128900,128400,128000,128000,127900,127700,128000,128800,129500,130100,130900,131700,132500,133500,134500,135200,136100,137100,138200,139500,140800,142300,143900,145600,147400,149200,151100,153000,154700,156200,157100,158300,160400,162500,164000,165000,166100,167000,167700,168400,169300,170200,171200,172200,173400,174700,175900,177400,179000,180400,181700,183000,184300,185600,186800
21,"Illinois",5,109200,110200,111100,111500,111600,111700,111900,112000,112200,112900,113300,113500,113700,113900,114000,114100,114400,114900,115400,115700,116100,116500,117200,117500,117600,117600,117700,118000,118500,118800,119200,119400,119700,120200,120900,121300,121700,122100,122600,123300,123700,124000,124700,125500,126000,126600,127500,128500,129100,129600,130300,130600,130700,131000,131500,132200,132700,133100,133600,134500,135300,135800,136200,136900,137800,138800,139700,140400,141000,141700,142200,142700,143300,143900,144500,145300,145900,146200,146600,147200,147900,148600,149300,150100,150700,151600,152800,153700,154500,155300,156100,156900,157800,158800,159700,160300,161100,161900,163000,164000,165100,166200,167000,167800,168800,169600,170400,171500,172500,173400,174000,174800,175900,176800,177700,178600,179400,180100,180800,181600,182200,182700,183100,183400,183600,183700,183900,184200,184500,184800,185100,185400,185500,185600,185500,185300,185000,184800,184600,184200,183500,183000,182300,181400,180700,180300,179600,178900,178100,177400,176500,175400,174200,173300,172200,171000,169700,168400,167500,166700,166000,165500,165200,164700,164200,163800,163300,162500,161800,161200,160300,159500,158600,157500,156300,155400,154400,153500,152600,151500,150500,149400,148200,146900,145700,144700,143600,142900,142200,141400,140700,140300,140000,139600,139700,139700,139500,139400,139500,139300,139100,139000,139300,139900,140400,141100,142000,142900,144300,145400,146200,147300,148500,149300,150000,150600,151400,152000,152300,152700,153200,153400,153500,153400,153500,153600,153700,153900,154300,154400,154600,154700,154600,154500,154600,154800,155000,155000,155000
47,"Pennsylvania",6,86200,86500,86600,86600,86900,87000,86900,86800,86800,87100,87300,87300,87200,87200,87300,87200,87300,87400,87700,87900,88100,88600,89100,89400,89400,89500,89700,89900,89800,89800,89900,90200,90500,90900,91200,91400,91800,91900,91700,91800,92000,92300,92500,92800,93000,93200,93700,94200,94400,94700,95100,95400,95500,95800,96300,96700,96800,97000,97500,98200,98700,99100,99500,99900,100400,100800,101300,101800,102500,103000,103400,103900,104500,105100,105800,106700,107400,108100,108600,109200,110100,110900,111600,112100,112800,113500,114600,115500,116300,117000,118000,119200,120200,121000,121800,122900,123900,124700,125600,126500,127700,128900,129900,130600,131600,132800,133800,134900,136200,137300,138200,139400,140700,142000,143300,144400,145400,146500,147400,147900,148600,149600,150500,151100,151700,152200,152600,153000,153300,153500,153900,154300,154800,155400,155600,155700,155700,155600,155500,155300,154900,154500,154300,154100,153900,153600,153300,153400,153200,152700,152500,152400,152300,152300,152600,152500,152300,151900,151700,151500,151300,151400,151600,151700,151900,151800,151300,151200,151300,151200,150900,150500,150200,149500,148700,148100,147600,147200,146800,146100,145600,145200,144500,144000,143800,143600,143400,143200,142900,142500,142300,142000,141900,141800,141800,141800,141800,141700,141300,141000,141000,141000,141100,141100,141200,141500,142100,142500,142600,143100,143700,144400,145300,146500,147400,147700,147900,147900,147800,147800,147800,147600,147700,147700,147300,147100,147400,147800,148000,148000,148200,148400,148700,149200,149600,149900,150100,150100,150000
44,"Ohio",7,88400,88600,88700,89000,89300,89300,89300,89600,89900,90100,90400,90600,90900,91200,91600,91700,92100,92600,92900,93200,93400,93800,94200,94600,94900,95100,95300,95500,95800,96200,96500,96800,97200,97900,98500,98800,99000,99500,100200,100700,100800,101100,101700,102100,102300,102700,103200,103700,104200,104700,105100,105500,105900,106300,106600,106900,107200,107700,107900,108200,108600,108800,109000,109600,109900,110200,110400,110700,111100,111300,111400,111900,112400,112600,112800,113000,113400,113700,114000,114200,114500,114800,115100,115500,116000,116500,116900,117300,117700,118100,118600,119200,119600,119900,120200,120400,120700,120900,121000,121200,121500,121900,122200,122500,122800,123100,123600,123800,124100,124400,124600,124700,124800,124900,125000,125200,125400,125500,125500,125500,125300,125300,125400,125300,125200,125000,124900,124700,124600,124400,124300,124100,123800,123600,123300,122900,122500,122100,121500,121100,120700,120100,119300,118600,118100,117500,117000,116600,116200,115700,115300,114800,114300,114100,113900,113700,113400,113100,112900,112900,112800,112700,112700,112700,112500,112300,112200,112100,112000,111700,111700,111400,111100,110800,110400,109700,109100,108500,107900,107500,106900,106400,106000,105700,105400,105000,104700,104400,104400,104400,104400,104300,104500,104700,104700,104700,104800,104900,105000,105100,105200,105400,105400,105500,105800,106300,106600,107100,107600,108200,108900,109300,109700,110400,111100,111500,111800,112000,112200,112600,112800,112900,113300,113700,113800,113800,114100,114600,115000,115300,115300,115400,115500,115700,115900,116000,116400,116700,116700
30,"Michigan",8,100500,99800,99600,100400,100200,99700,99900,100500,101200,101900,102700,103500,104500,105600,106700,107700,108600,109300,110000,110700,111500,112200,112800,113400,114100,115000,115700,116500,117300,118100,118800,119300,119900,120600,121200,121900,122900,124000,124800,125400,126200,127200,128000,128500,128900,129500,130300,131200,131800,132400,133100,133700,134100,134700,135300,136000,136800,137400,138000,138800,139600,140300,141000,141700,142300,143000,143500,144000,144300,144400,144700,145000,145300,145700,146100,146500,146800,147300,147900,148400,148800,149300,149900,150300,150900,151300,151600,152000,152700,153100,153200,153600,154100,154500,154900,155200,155400,155700,155800,156000,156500,156800,157000,157400,157800,158000,158100,158300,158700,159000,159100,159100,158900,158900,158900,159100,159300,159200,158900,158500,158000,157300,156700,156200,155600,155000,154500,153900,153200,152400,151600,150800,149900,149000,147900,146900,145800,144700,143500,142100,140400,138700,136800,135000,133300,131500,129600,127900,126200,124200,122100,119900,118100,116700,115700,114600,113100,111700,110600,109500,108400,107800,107200,106700,106300,106000,105700,105300,105200,105300,105100,104600,104000,103300,102800,102500,101800,101000,100500,100100,99600,99000,98400,98100,97700,97600,97600,97700,97800,98000,98200,98400,98800,99600,100500,101500,102400,103300,104100,104900,105800,106800,107800,108700,109800,111200,112900,114800,116600,118100,119600,121000,122200,123300,124300,125200,126100,127100,128000,128500,129000,129500,130100,130600,131000,131200,131700,132400,133200,133600,133900,134300,134900,135400,135700,136300,137100,137800,138300
16,"Georgia",9,88800,89000,89200,89500,89600,89800,90100,90200,90400,90700,91100,91300,91400,91700,92100,92500,92800,93300,93800,94300,94800,95100,95700,96300,96700,97100,97400,98000,98600,99200,99700,100200,100700,101400,102100,102600,103300,104000,104700,105500,106300,106900,107400,108200,108900,109600,110500,111400,112000,112800,113700,114200,114800,115400,116000,116700,117400,118000,118600,119100,119700,120400,121000,121400,121800,122300,122900,123300,123600,124000,124600,125100,125500,125800,125900,126300,126700,127200,127600,127800,128100,128500,128700,129000,129300,129800,130200,130600,130800,131100,131400,131700,132100,132600,133000,133300,133500,133700,133900,134400,134800,135100,135600,136200,136800,137400,137900,138400,138900,139300,139700,140100,140600,141100,141700,142400,143000,143600,144100,144500,144900,145300,145700,146100,146400,146800,147000,147100,147000,146600,146300,146200,146400,146500,146500,146400,146300,146000,145600,145000,144500,143900,143000,141900,141000,140000,139000,138000,136800,135400,134100,132500,131300,130800,130500,129800,128800,127800,127000,126300,125600,125200,124800,124300,123800,123100,122400,122000,121400,120800,120000,119000,118000,117000,115900,114900,113900,112800,111800,110800,109900,108900,107900,106800,105900,105100,104400,103800,103400,103100,102700,102400,102000,101600,101300,101100,101000,100800,100600,100400,100600,100800,101000,101500,102300,103300,104700,106100,107600,109100,110700,112200,113200,114200,115300,116200,117300,118500,119500,120300,121100,121800,122500,123300,123900,124300,124900,125500,125900,126500,127100,127800,128600,129300,130100,131100,132000,132700,133200
36,"North Carolina",10,91700,92200,92500,93100,93500,93700,94000,94300,94500,95000,95600,96200,96800,97400,97800,98200,98600,99100,99600,100100,100400,100900,101700,102500,103000,103500,104000,104500,105000,105500,106200,106900,107200,107400,108000,108700,109100,109400,110100,110500,110900,111400,111700,111800,112000,112400,113000,113500,113800,114300,114800,115100,115500,116000,116400,116600,117700,118900,118600,118000,118200,118400,118200,118300,118500,118600,118700,119100,119200,119100,119400,119800,119900,119900,120100,120500,120900,121000,121200,121600,122000,122100,122400,122900,123100,123500,124000,124100,124100,124200,124600,125000,125200,125500,125900,126400,126800,127200,127500,128000,128500,129000,129600,129900,130300,131000,131500,131900,132400,133100,133600,134200,135000,135900,136600,137300,138100,138700,139200,139800,140300,140900,141300,141700,142500,143200,143600,144000,144500,144900,145400,145800,146200,146600,147100,147500,147900,148100,148000,147900,147800,147600,147500,147600,147600,147600,147600,147500,147000,146500,146200,145700,145300,145400,145500,145300,145000,144700,144400,144200,143900,143700,143700,143600,143300,143000,142600,142200,141800,141300,141000,140600,140200,139600,139200,138800,138300,137600,136900,136500,135900,135600,135300,135000,134600,134300,134200,134100,134000,134000,134000,134100,134100,134200,134100,134100,134200,134300,134400,134400,134700,135000,135100,135100,135400,135800,136100,136700,137100,137400,138000,138700,139100,139500,139900,140200,140300,140300,140200,139900,139900,140000,140000,139800,139800,139900,140300,140800,141300,141500,141900,142300,142700,143100,143400,143700,144000,144300,144400
