"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,266600,265600,264000,262200,260600,259800,259300,259100,259300,260300,261200,262000,262800,264400,266800,268900,270500,272800,275500,278100,280800,284000,287600,289700,291100,293100,296600,300400,303800,306800,310500,313900,317200,320000,322200,324400,327100,330100,332900,335400,338000,340500,343000,345700,349100,352900,357200,361300,365700,370500,374800,378900,382900,386300,389800,394000,398200,402700,407500,412300,416400,419700,422200,424700,427800,431100,434200,436900,439900,443100,446400,449700,453500,457700,462500,468100,473800,479100,484300,490200,496000,501500,507100,513300,519200,524500,529800,535900,543000,551200,559900,568500,577100,586400,596700,608100,620600,633900,647200,660000,671800,682200,691600,700500,709600,718700,728000,737300,746700,756000,764900,773400,781600,788800,794700,800100,804500,807300,809100,810600,810800,809700,808200,806000,803200,800300,797700,794700,791100,787900,785500,782700,779000,774600,769300,763200,756900,750100,743100,735700,726900,716500,704500,691000,678000,666200,655000,644300,634400,624900,615600,606300,599200,594800,591000,586500,582200,578700,576200,574800,574100,574200,574800,575700,576600,577200,577600,578000,577500,576100,574200,571400,568300,565600,562800,560200,557500,554300,550600,547100,544100,540800,537600,535200,533400,531900,531400,531300,531200,531400,531800,533000,535000,538400,542800,547500,551800,556600,561700,566700,572100,578600,586500,595400,605000,615000,625500,636000,645100,652900,660100,666700,671900,676200,679300,683400,688500,692500,694200,694600,695500,697200,699500,702300,705000,706700,709700,712900,715200,717000,719000,720900,723100,724400,725100,726900,730000,732900,734800
54,"Texas",2,,,,,,,,,,,197000,197300,197900,199200,200500,202100,203700,205300,205700,205300,205200,206100,206800,207400,208000,208800,209800,211300,212800,213900,214400,214600,215200,216800,218600,220400,221900,223600,225500,227100,228000,229200,229800,229700,230300,231900,232400,232200,232500,233900,234800,235200,235400,235900,235900,235600,235400,235600,236300,237100,237900,239100,239800,239900,240400,241600,242500,243000,243700,244800,245200,245200,245200,245100,245400,246000,246400,246400,246900,247900,248500,248600,248200,247800,247500,247300,247400,247700,248300,249000,249700,250200,251100,252800,255400,258800,262600,265900,268300,270200,271400,272300,272800,273400,274600,276400,277800,279000,279900,280500,281100,282200,283300,284100,285300,286700,287600,288400,289600,290900,292400,293500,294400,295200,296400,297700,298800,299600,300400,301400,302700,303900,304700,305400,306500,307500,308100,309000,310300,311600,312300,311500,309500,307200,304900,302400,299900,298500,299200,301200,303300,305500,308200,310900,313500,315900,318000,319200,320900,322800,324500,325600,326100,325400,323800,322000,321500,321300,320500,322300,325100,325300,322900,319700,315800,312600,310000,309900,308500,306400,307100,308800,308500,310500,313600,315500,316300,317000,317000,316100,315500,316100,316400,316600,317000,316100,314800,315300,316600,317800,319400,321000,323300,326300,329000,330300,331700,333400,334800,336100,338400,341000,343500,345400,347700,349000,348800,348200,348700,349500,350800,352200,354500,358000,361500,364100,366800,369700,373100,376500,379400,381400,382600,382900,382500,382400,383400,385200,386700
43,"New York",3,158100,157500,156900,156300,155400,154200,154800,156300,158100,160000,161800,162300,162800,163400,164000,164500,164900,165500,165800,166200,166500,166800,167300,168600,170000,170800,171200,171500,171900,172800,173500,174100,174600,175100,176000,177300,178500,179800,181200,182900,184700,186300,187500,189000,190700,192400,194100,195700,197400,199300,201200,202800,204500,206300,207900,209600,211200,213000,214800,216600,218400,220100,221000,221800,223200,225200,226900,228300,229500,230700,231400,232100,233300,234900,236300,238700,241600,244800,247700,250400,253100,256000,259200,262700,265800,269400,274400,278700,281400,283700,286000,288500,290400,291600,293300,296100,298900,301300,304000,307300,311100,314600,318100,322400,325800,328300,332000,336800,341100,345200,349300,353100,356800,360300,363900,367600,370100,371500,373100,375200,377500,379600,381200,382900,384300,384900,385000,383100,391100,407000,416300,415000,415800,416400,416500,415600,414100,412500,410900,409200,407400,405600,403500,400500,397300,394700,391900,388900,386300,384400,382800,382500,373500,359400,352100,352600,350800,348700,346500,344700,343400,342200,341200,340100,338800,337600,336100,334500,333500,332600,331400,330200,329000,327700,326600,325800,325200,324500,323700,322500,321300,320100,319200,318300,317600,317100,316500,315500,314800,314400,313500,312300,311200,310500,310400,310600,311000,311500,311700,311700,311700,311700,311800,311700,312000,312800,313900,315400,317100,318500,320000,322100,324500,326900,328300,330200,333000,335200,336000,336500,337000,337300,337400,337600,338600,339600,340200,340500,340600,340700,340900,340700,340000,338900,337800,337000,336900,337300,337800
14,"Florida",4,201400,202200,202000,201600,201700,201300,200800,200600,200600,201000,202300,204100,205300,205700,206100,206500,206900,207800,209700,211400,213100,214900,216500,217700,218100,218800,219900,220300,220400,221500,222400,223100,224200,225600,227100,228800,230000,231200,232700,234100,235600,237400,238900,240500,241800,243000,244400,246400,248800,251000,253100,255300,257200,258800,260900,262900,264500,266300,268500,270700,272700,274600,276800,279300,281500,283000,284600,286300,288800,291800,295300,298400,301000,302400,304200,307300,311300,314400,316700,319600,322400,324500,326000,327400,328900,330900,333100,335300,338000,341200,344500,348100,352500,357000,361100,364700,368900,374500,381000,387400,393700,400500,408100,415300,422300,429900,437900,446700,457000,468300,479100,489300,499800,509900,519300,527700,534500,539600,544500,550200,555500,559500,561400,562600,562600,561600,560500,559800,558200,556300,554500,552100,548400,544000,539400,534200,528600,522800,516900,511100,504400,496200,487100,478000,468800,460000,451500,443000,434700,426900,418800,409700,403000,400400,398100,393600,389000,384800,380900,377400,374700,372800,371200,370000,369000,367600,365500,363300,361300,359900,358500,356800,354600,352100,349700,348000,346300,344400,343200,342600,341600,340100,338600,337500,336800,336000,335900,336300,336800,337100,337900,339300,341200,343400,345600,348000,350600,353300,355700,357800,359700,361800,364200,366700,368800,371300,374600,378100,381600,386000,390800,395000,398000,400200,401000,402700,406500,410500,413100,414500,415400,416300,417600,418900,420100,421300,423100,425300,426600,427400,428600,430900,433100,433400,432800,433100,434000,434600,435000
21,"Illinois",5,223900,222800,222200,222300,222900,224100,224800,224700,225300,226700,227600,228000,228600,229400,230000,230700,231400,231800,232300,233000,233600,234500,235800,236900,237600,238100,238600,239500,240600,241600,243000,244400,245600,246700,248100,249500,251200,252900,254200,255200,256300,257400,259200,260900,262200,263900,265900,267500,268800,270300,272100,273500,274400,275700,277100,278600,280700,283000,284900,286500,288400,290400,292000,293900,296200,298300,299600,301400,303000,303900,304600,306000,307800,309400,311100,312900,314600,316400,318500,320500,322500,324500,326700,329100,330900,332800,335700,338500,340500,341800,342800,343700,345200,346900,348200,349600,351500,354000,356200,358100,360100,362300,364800,367800,370800,373300,375900,378700,381300,383500,385800,388200,390800,393100,395000,396700,398400,400000,401800,403800,405900,407700,408800,409400,410100,411300,412400,413100,413200,413500,414100,414700,415000,415200,414800,414000,412900,411500,410100,408700,407100,405400,403000,400000,397300,395400,393700,391900,390200,388800,387700,386100,384200,382800,381500,379600,377400,374600,371900,370000,368700,367700,366800,365900,365100,364300,362800,361000,359300,357600,355900,353900,351500,349200,347100,345000,342900,340700,339400,338500,336500,334100,332100,330100,328600,327000,324800,322900,321600,320300,319000,318100,317600,317200,316600,316200,316200,316300,316300,316500,316800,317200,318100,319000,319900,321600,324700,328000,330800,333100,335600,338300,340100,341500,343000,345000,347200,349400,351000,352500,353500,354000,354000,353400,353900,354300,353500,352400,352800,353100,353400,353100,352500,351700,351000,350500,350400,350300,350200
47,"Pennsylvania",6,147600,147100,146900,146600,146400,146500,146500,146300,146400,146600,146800,147200,147500,147700,147800,148200,148800,149300,149600,149900,150100,150700,151700,152400,152800,153200,153300,153200,153000,153100,153500,154100,154700,155500,156200,156900,157300,157700,158000,158300,158800,159400,160000,160400,160900,161500,162300,163100,163900,164800,165700,166600,167600,168600,169400,170300,171300,172000,172800,173900,175100,176100,176900,177800,178500,179100,179900,180900,181700,182400,183400,184600,185700,186800,188000,189400,190700,192200,193800,195600,197600,199600,201300,202800,204700,206800,209100,211300,213500,215400,217200,219100,221200,223300,225000,226600,228200,230200,232600,235200,237700,240300,242800,244900,247000,249200,251500,253900,256500,259100,261200,263300,265600,268200,271000,273600,275200,276700,278100,279300,280400,281600,282800,283900,284600,284900,285200,285600,285900,286200,286900,287600,288100,288400,288200,287800,287700,287600,287000,286200,285300,284700,283900,283100,282500,282000,281700,281800,281600,280900,280200,279700,279700,280200,280500,280400,280400,280100,279400,278400,277900,277600,277400,277300,277300,276900,276400,276200,276100,275700,275000,274000,273200,272000,271000,270300,269500,268400,267900,267300,265900,264700,264000,263000,262300,261900,261600,261600,261700,261500,261000,260600,260300,260100,259800,259800,259800,259600,259200,258900,258700,258600,258800,259000,259000,259500,260800,262300,263300,265000,267000,268800,270300,272200,273600,275200,277100,278300,279100,279800,280200,280400,280600,280200,279700,279500,279700,279700,279800,280200,280500,280700,281400,282100,282200,282300,282500,282600,282500
44,"Ohio",7,155400,155500,155200,155200,155400,155400,155300,155400,155800,156400,156900,157400,158100,158700,159100,159700,160500,161100,161500,162000,162700,163500,164200,164700,165200,165600,166100,166400,166700,167100,167600,168100,168800,169400,170100,170900,171600,172400,173400,174200,174800,175200,175700,176200,176700,177300,178300,179200,179800,180400,181100,181700,182100,182600,183300,183900,184200,184600,184900,185300,185800,186300,186700,187100,187600,188300,188900,189300,189800,190600,191200,191800,192300,192800,193300,193900,194600,195400,196000,196400,197000,197800,198600,199300,200300,201200,202100,203100,204300,205100,206200,207900,209200,209600,209700,210000,210500,211000,211300,211700,212000,212500,213000,213500,214100,214500,215000,215600,216300,216600,217000,217400,217800,217900,218100,218500,218800,219200,219700,219900,219800,219700,219600,219400,219100,219100,219000,218700,218300,217800,217500,217300,217100,216800,216600,216200,215800,215300,214600,213700,212800,211800,210500,209500,208800,208100,207500,207200,206700,206300,205800,205000,204900,206000,207000,207100,207100,207300,207400,207300,207100,207100,207100,207100,206700,206200,205900,205700,205200,204800,204300,203700,203400,202900,202400,201900,201400,200600,199900,199300,198800,198300,198000,197700,197600,197700,197600,197800,197900,197600,197200,197000,197100,197400,197700,198100,198500,198600,198700,199100,199300,199700,200100,200500,201000,201800,202800,204000,205000,206200,207700,209200,210500,211900,213000,213900,215200,216300,216900,217300,217400,217400,217600,218100,218800,219400,220100,220900,221600,222100,222400,222800,223400,223600,223200,223300,223600,223500,223100
30,"Michigan",8,170300,166800,164600,164400,164700,165200,165600,165900,166000,165700,165900,167300,169000,170500,171700,172700,173500,174200,174800,175600,176700,177500,178200,179200,181000,182900,184600,185600,186400,187300,188000,188800,190100,191900,193700,195500,197300,198900,200400,201500,202400,203300,204400,205500,206800,208000,209500,210900,212500,214100,215700,217300,218800,220100,221100,222500,224000,225100,225500,226200,227400,228700,229800,230900,231600,232200,233300,234600,235300,235900,236700,237900,239400,240700,241700,243000,244600,246500,248300,249400,249900,250200,250600,250900,251100,251800,253000,254100,255000,256100,257200,258300,259300,260100,260500,260800,261000,261100,261100,261400,261900,262400,262700,263100,263800,264800,265800,266500,267000,267200,267600,267800,267900,267500,267300,267600,268000,267900,267500,267200,267200,267100,266500,265700,265000,264300,263500,262700,261300,259700,258400,257500,256300,255100,253700,252000,250200,248300,246200,243900,241200,237700,234300,231600,229600,227500,225200,223100,221200,219000,216600,213600,212100,213100,214300,213300,211300,209700,208600,207600,207100,207100,207200,207000,206800,206600,206300,205900,205400,205300,205200,204500,203100,201800,201100,200700,200000,198900,198200,198300,198000,196900,196100,195700,195800,196100,196600,197600,198700,199200,199700,200500,201700,202800,204300,205800,207400,208900,210400,211900,213500,215000,216400,217800,219200,221100,223700,226600,229300,232200,235300,238000,239800,241100,242000,244200,248000,251800,253900,255400,256100,256300,256500,256900,257100,257300,257700,258100,258500,258900,259200,260000,261000,261200,260600,260600,261300,262100,262400
16,"Georgia",9,214800,214500,214400,214200,214100,214100,214300,215000,216000,216400,216700,217900,219600,220700,221500,222200,223000,224200,225400,226300,227300,228700,229900,231000,231800,232600,233600,234800,236300,237900,239700,241200,242500,243600,245200,247300,249300,251100,253200,254900,256100,257000,257800,258800,260100,261500,263000,264200,266100,268500,270400,271800,273100,274600,276000,276800,277600,279300,281100,282300,282700,283200,284000,285100,286700,288600,290100,291400,292600,293800,294800,296100,297200,298100,298900,299900,300800,301500,302100,303200,304300,305000,305900,306800,307900,309100,310000,310700,311400,312000,312900,314300,315600,316500,317400,318500,319600,320400,321600,323200,325000,326700,328400,330100,331900,333700,335600,337900,339800,341500,343300,345400,347300,349400,351600,354100,356800,359500,361900,363700,365500,367400,369300,371000,372600,373700,374700,375800,376100,375600,375300,375500,376000,376500,376600,376200,375500,374400,373000,371200,369600,367700,365800,363700,361900,360000,357800,355200,352100,349100,346000,342100,339000,337900,336800,334400,331800,329200,327000,325100,324200,323800,323300,322600,321700,320400,319000,317800,316600,315700,314300,312500,310600,309000,307700,306200,304500,302600,301000,299600,297800,295700,294100,293000,292000,291000,290100,289800,289600,289400,288800,288800,289500,290100,290500,291300,292200,293000,293700,294700,296000,297200,298500,299900,301500,304000,307300,310900,314400,317500,320600,323800,326400,328400,330300,332300,334700,337300,339400,340800,342100,343100,344200,345300,346300,347200,348900,351000,352400,353500,354600,355600,356200,356800,357600,358900,360600,362200,363300
36,"North Carolina",10,190300,191000,191400,191600,191500,191400,191900,192400,192700,193500,194600,195600,197200,198600,199800,200800,202100,203500,204800,206100,207600,209200,210800,212200,213300,214700,216600,218600,220400,221800,222700,223500,224200,224600,225100,226300,227300,227800,228300,228700,229000,229500,230300,231400,232300,233200,234400,235500,236400,237400,238700,240100,241400,242600,243800,244500,245800,247600,249000,249900,250600,250900,251300,251700,252100,252500,252600,253000,253700,254000,254200,254700,255000,255100,255300,255600,255900,256200,256700,257400,258300,259100,259800,260300,260800,261600,262700,263500,264200,265200,266400,267300,268000,269000,269900,270700,272200,273800,275000,276200,277800,279400,281000,282500,283700,285000,286900,289000,290800,292700,294500,296500,298500,300700,302600,304500,306400,308300,309800,311300,313100,314700,316000,317500,319400,321200,322900,324800,326000,326900,328200,329600,330500,331500,332500,333300,333900,334300,334700,334900,335000,335100,335200,335100,334800,334700,334700,334300,333300,331900,330300,328700,327900,327700,326900,325200,323700,322400,321500,320500,319500,318600,317900,317100,316100,314700,313600,312900,312100,311000,309700,308300,307000,305800,304600,303700,302900,301800,300800,299900,298900,298100,297200,296200,295600,295400,295500,295500,295400,295000,294900,294900,295000,295200,295600,296000,296500,297300,298000,298300,298600,299300,300000,300700,301300,302100,303200,304600,305900,306900,308000,309800,311800,313200,314000,315300,317900,320500,321800,322500,323100,323600,323900,323800,323300,323400,324400,325300,325600,325100,324900,325900,326700,326200,325800,326000,326400,326900,327500
