"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,95600,95300,94900,94800,94800,94700,94500,94500,94500,94600,94900,95400,95800,95800,95800,96100,96300,96700,97100,97500,97900,98600,99800,99500,99400,100800,102200,102100,102500,103100,103600,104000,104500,105000,105600,106500,107200,107500,108000,108900,109600,110300,111300,112400,113400,114700,116100,117300,118400,119600,120700,121800,122700,123500,124700,126000,127200,128500,129800,131100,132400,133700,135100,136400,137600,139000,140200,141400,142900,144500,146100,147900,149900,151700,153500,155700,158200,160700,163100,165600,168400,171200,174000,176500,179100,181700,184300,187000,190100,193400,197100,201100,205200,209400,213800,218600,224000,229800,236000,242700,249300,255300,261000,266600,271500,276200,281300,286600,291700,296800,301900,307200,312600,317500,322000,326200,329400,331400,333000,334600,335900,336300,336300,335600,333900,331700,329300,326700,323700,321000,318700,316700,314400,311500,308100,304300,300100,295700,291000,286100,280800,275400,269300,262600,255200,247800,240500,233800,227300,221100,215000,208900,203700,199700,195500,190700,186300,182500,178900,175600,172700,170300,168300,166800,165800,164900,164000,163000,162100,161500,160900,160100,159100,158100,157300,156300,155200,154100,153000,151800,150300,148900,147600,146300,145500,145000,144400,144100,143900,143800,143800,144300,144700,145200,146000,147200,148400,149800,151200,152700,154300,156100,158300,161000,164200,167800,171700,175800,179900,183900,187900,191500,194500,197100,199200,201800,205400,208600,210800,212600,214000,215100,216100,217300,218500,219600,221300,223000,224400,225900,227500,228600,229800,231000,232200,233700,235300,236700,237700
54,"Texas",2,,,,,,,,,,,47000,47400,48100,48600,49000,49400,49700,50000,50300,50400,50300,50200,50500,50900,51100,51400,51600,51700,51900,52100,52200,52300,52400,52700,53000,53100,53500,54200,54900,55400,55600,56100,56500,56500,56300,56300,56500,56700,57000,57200,57400,57400,57600,57900,58000,58100,58100,58000,57500,57400,57300,57500,57600,57500,57500,57800,57900,58000,58100,58300,58600,58800,58700,58700,58900,59300,59700,59800,59900,60200,60600,60900,61000,61200,61600,61800,61900,62300,62700,62800,62800,62800,63000,63500,64300,65200,66100,66700,67200,67600,67900,68300,68700,68800,69000,69400,70000,70500,70700,70900,71300,71400,71400,71800,72200,72400,72500,72600,72800,73100,73600,73800,74000,74300,74800,75200,75400,75700,76000,76200,76100,75800,75600,75900,76300,76500,76500,76500,76600,77000,76700,75900,75200,74700,74000,73100,72300,72000,72200,72800,73400,74000,74700,75400,76000,76600,77000,77500,77800,77900,77800,77500,76800,76300,76500,77100,77700,78100,78200,78000,77900,77800,77300,76800,76700,76700,76300,75900,75200,74500,74600,75200,75800,76500,77400,77400,77100,76700,76600,76100,76100,76500,77200,77400,77100,76900,76700,76500,76700,76700,76600,76500,76600,76900,77700,79100,80200,80500,80500,81300,82100,82400,82400,82700,83300,83000,80800,78200,76900,76300,75900,75800,75800,75900,76300,76700,77000,77500,78200,79000,79500,80000,80300,80300,80400,80700,81000,81200,81400
43,"New York",3,62500,63100,63100,62900,62900,62700,62900,63600,64500,64900,65300,65500,65600,65300,65300,65400,65400,65400,65400,65300,65300,65300,65700,66300,66500,66400,66300,66200,66200,66300,66300,66200,66100,66200,66600,67000,67200,67300,67500,67600,67600,67700,67900,68000,68000,68300,68600,68800,69000,69200,69300,69400,69700,69900,70000,70100,70300,70400,70700,71600,72200,72200,72100,72300,72700,72900,73000,73400,73600,73300,71900,70500,70100,70600,70600,70600,70600,70800,71100,71400,71700,71900,72400,73000,73300,74000,75700,77200,77900,78400,79100,79600,80400,81500,82400,82800,83100,83400,83600,83900,84600,85300,85700,86000,86200,86400,86900,87600,88100,88400,88800,89200,89600,90100,90700,91400,91500,91500,91700,92200,92700,93000,93100,93300,93500,93700,93900,93700,95500,98700,100700,101000,101700,102100,102300,102600,103300,103700,103900,104200,104400,104300,104400,104500,104700,104800,104900,105200,105500,105600,105600,106000,104800,102500,101400,101900,102100,102500,102800,102700,102400,102400,102500,102700,102900,103000,103000,103100,103200,103300,103400,103400,103200,103000,102700,102600,102500,102300,102000,101800,101600,101400,101200,100800,100500,100300,100400,100500,100500,100400,100300,100100,100000,100000,100100,100300,100400,100500,100800,101000,101100,101300,101400,101400,101600,101900,102200,102500,103100,103700,104100,104300,104500,105000,105300,105300,105300,105100,105000,104800,104500,104100,104000,103800,103900,104300,104800,105200,105300,105300,105300,105500,105800,105900,105700,105600,105900,106200,106300
14,"Florida",4,52800,52700,52500,52400,52500,52400,52400,52300,52400,52700,52800,52900,53100,53200,53200,53300,53500,53700,53800,54100,54300,54700,55000,55100,55200,55500,55600,55600,55700,55900,56100,56400,56500,56700,57000,57300,57700,58100,58300,58500,58800,59000,59200,59500,59800,60100,60400,60800,61200,61400,61800,62200,62400,62800,63200,63500,63900,64400,65000,65400,65700,66100,66600,67000,67600,68400,68900,69400,70000,70600,71100,71700,72300,72800,73300,74000,74600,75000,75600,76500,77200,77900,78700,79600,80300,81100,81900,82700,83400,84300,85200,86000,86900,87800,88800,89900,91100,92600,94200,96100,98100,100000,102000,104300,106600,108800,111100,113900,117100,120400,123500,126700,130200,133500,136700,139600,142200,144500,146500,148400,150200,151600,152600,153300,153700,153600,153300,153000,152200,151100,149900,148800,147600,146200,144600,142800,141000,139200,137400,135500,133400,130900,128300,125500,122700,120000,117500,114800,111900,109100,106400,103400,101000,99600,98200,96000,93600,91200,89000,86900,85100,83600,82100,80700,79400,78200,76900,75600,74600,73600,72600,71700,70800,69900,68900,68100,67100,66200,65500,65100,64300,63500,62700,62000,61500,61200,60800,60700,60800,60800,60700,60900,61200,61600,62200,62600,63000,63500,64100,64500,65000,65600,66100,66600,67100,67900,68900,69900,70900,71600,72600,73700,74500,75300,75700,76500,77800,78900,79500,80100,80700,81300,81800,82300,82700,83100,83600,84200,85000,85700,86500,87400,88300,89000,89600,90400,91000,91700,92400
21,"Illinois",5,63700,63700,63800,63900,63600,62900,62200,61700,62200,63300,63600,63300,62900,62900,63200,63500,63400,63500,63800,64000,64100,64200,64200,64200,64400,64700,64900,65300,65600,65900,66500,66900,67200,67500,68100,68600,68800,68900,69100,69400,69800,70000,70200,70600,70800,70900,71200,71500,71900,72300,72600,72700,72900,73400,73900,74000,74000,74200,74900,75600,76000,76100,76200,76100,76300,76800,77000,77200,77900,78700,78800,79000,79400,79600,79700,79700,79700,79700,79900,80400,80800,80800,81100,81600,81800,82400,82900,83100,82900,82900,83100,83900,84300,84900,85200,85200,85400,85900,86100,87200,88600,89400,89800,90200,90200,90000,90000,90300,90700,90700,90500,91200,91900,92000,91900,92300,92800,93000,93200,93700,94200,94200,94300,93900,94400,96200,97500,97500,97200,96500,96000,95900,96200,97700,99900,100800,100100,98900,98400,98100,98200,98600,98800,98500,98400,98300,98100,98000,98100,98000,97900,97600,98000,99300,100400,100600,100300,99600,98800,98400,98300,98300,98100,97700,97100,96700,96300,95800,95300,94600,93900,93200,92300,91400,90800,90300,89800,88900,87900,87200,86600,85900,85100,84000,83100,82300,81500,80900,80400,79700,79100,79100,79100,79000,78900,79000,79200,79400,79400,79500,79300,79400,79400,79500,79700,80300,80900,81300,81600,82100,82900,83700,84100,84400,84900,85000,84500,83400,82400,81600,81200,80900,80900,81000,80800,80400,80000,79900,79900,79900,80000,80300,80500,80400,80000,79900,80100,80000,79900
47,"Pennsylvania",6,47400,47200,47200,47100,46800,46600,46600,46600,46600,46700,46600,46600,46600,46800,46800,46700,46800,46900,46800,46800,47100,47300,47400,47900,48300,48300,48200,48300,48200,48300,48300,48400,48400,48700,49000,49200,49300,49600,49900,50000,49900,49900,50000,50000,50000,50100,50100,50100,50100,50100,50200,50500,50600,50700,50700,50700,50900,51300,51700,51900,52200,52300,52300,52400,52700,53300,53800,54200,54500,54600,54900,55200,55400,55500,55500,55600,56000,56300,56600,57000,57500,57800,57800,58000,58400,58700,59200,59900,60400,60700,61000,61300,61600,61700,62000,62300,62700,63200,63700,64000,64400,64900,65500,65900,66100,66400,66900,67500,68000,68700,69300,69900,70500,71200,71600,71900,72100,72300,72500,72800,73100,73500,73900,74100,74200,74000,74000,74200,74600,75100,75500,75700,75500,75500,75600,75800,75900,75800,75900,75800,75800,75700,75500,75600,75800,75800,75700,75600,75600,75700,75900,75800,76100,76700,77000,76900,76900,76600,76400,76400,76500,76300,76100,76100,76200,76000,75800,75900,75900,76000,76200,76200,76000,75800,75700,75500,75000,74600,74400,74200,73900,73600,73200,72800,72600,72600,72500,72400,72200,72100,72100,72200,72200,72100,72100,72000,72000,72000,71900,72000,72100,72200,72000,71900,71900,72300,72700,73300,73600,73800,74200,74900,75600,76300,76600,76600,76800,76700,76400,76100,75800,75700,75700,75500,75300,75200,75500,75600,75500,75400,75400,75300,75400,75600,75700,75600,75400,75100,74800
44,"Ohio",7,53800,53700,53800,54000,54100,54000,54100,54400,54600,54600,54600,54700,54800,55100,55300,55500,55800,56100,56300,56500,56800,57100,57400,57700,57900,58100,58300,58400,58500,58800,59100,59300,59700,60000,60300,60500,60700,61100,61400,61600,61900,62000,62100,62400,62500,62600,63000,63400,63600,63700,64000,64100,64400,64600,64900,65100,65200,65300,65600,65900,66100,66300,66500,66600,66600,66700,67000,67200,67400,67700,67800,67900,68200,68300,68400,68600,68900,69200,69300,69300,69400,69500,69800,69800,69900,70200,70600,70900,71000,71200,71400,71800,72100,72200,72300,72600,72800,73000,73100,73200,73500,73600,73600,73900,74200,74300,74300,74500,74700,74900,75100,75100,75100,75200,75300,75400,75300,75300,75600,75800,75600,75500,75400,75300,75400,75500,75300,75300,75400,75300,75200,75000,75100,74900,74600,74300,74300,74100,73600,73200,72900,72600,72200,71800,71500,71000,70600,70300,69800,69300,69000,68500,68100,67900,67600,67100,66600,66200,66200,66100,65900,65800,65800,65600,65300,65100,64900,64700,64600,64700,64600,64200,63700,63200,63000,62600,61900,61300,60900,60600,60200,59600,59300,59100,58700,58300,58100,58000,58100,58200,57900,57700,57800,57900,57800,57800,57900,58100,58300,58200,58000,57900,57900,57700,57900,58100,58400,58700,59000,59200,59500,60000,60400,60600,61100,61400,61100,60800,60500,60200,60000,60000,59900,59900,59900,60000,60300,60500,60500,60800,60900,61000,61200,61200,60900,60900,60900,60800,60700
30,"Michigan",8,55300,54600,54600,54700,55200,56100,56600,56500,56500,56300,55900,55400,55300,55600,55900,56100,56400,56500,56800,57300,57500,57700,57800,58000,58400,58900,59100,59200,59200,59100,59400,59800,60100,60600,61100,61200,61300,61900,62600,63000,63300,63500,63500,63600,64000,64600,65300,66200,67000,67200,67200,67300,67400,67400,67600,67900,68300,68600,68900,69400,69800,70000,70300,70700,71100,71300,71300,71400,71400,71600,71900,72200,72400,72900,73300,73700,74200,74800,75100,75500,75800,76000,76100,76100,76200,76200,76400,76600,77000,77400,77800,78000,78100,78500,78900,79000,79000,79200,79500,79700,79800,79900,80100,80500,80800,80900,80900,81000,81300,81500,81400,81400,81600,81700,81900,82000,82000,81800,81500,81000,80500,80400,80700,80900,80700,80400,80200,80200,79800,79200,78900,78800,78700,78200,77500,77200,76900,76500,76100,75500,74900,74200,73200,72200,71500,70900,69900,68900,68100,67500,66500,65200,64700,64900,64600,63800,63200,62400,61500,60400,59200,58100,57100,56400,55700,55000,54500,54500,54200,53700,53200,52500,51700,51400,51100,50500,49700,48900,48400,48000,47300,46700,46300,45900,45600,45300,45100,45000,44900,44900,44900,44700,44600,44800,45200,45600,46000,45800,46100,46600,47000,47200,47400,47500,47800,48400,48900,49500,50200,51000,51600,52200,52800,53300,53900,54400,54900,55000,54800,54600,54500,54400,54200,54100,54000,53900,53600,53600,53500,53500,53800,54300,54700,54900,54900,54900,54900,54900,54700
16,"Georgia",9,57700,57800,57800,57800,58000,58300,58500,58500,58500,58700,59000,59000,59200,59800,60300,60400,60700,61000,61300,61700,62100,62400,62500,63000,63300,63500,63800,64300,64700,64900,65100,65400,65700,66000,66400,66800,67100,67300,67600,68100,68600,68900,69200,69500,69800,70200,70800,71000,71100,71400,71900,72200,72200,72300,72800,73400,73700,74100,74400,74900,75300,75800,76100,76300,76500,76700,76700,76900,77100,77500,77700,77900,78100,78200,78300,78600,78800,79100,79500,79800,80100,80200,80400,80500,80700,81100,81600,82000,82300,82600,82800,82800,83000,83300,83600,83900,84300,84300,84300,84400,84800,85200,85500,86000,86500,86700,87000,87500,87900,88400,88800,89100,89400,90000,90400,90800,91200,91600,91800,91900,92100,92300,92600,92900,93300,93400,93800,94100,94000,93800,93600,93500,93600,93800,93900,93900,93800,93700,93700,93300,92800,92300,92100,91800,91200,90500,89900,89400,88600,87700,86700,85400,84800,84900,84900,84100,83200,82500,81800,81200,80700,80300,79800,79500,79100,78400,77800,77200,76600,76100,75500,74600,73700,72700,71700,70700,69700,68800,67900,67100,66300,65300,64300,63400,62500,61600,61000,60700,60400,60100,59700,59300,59000,58800,58500,58200,58100,58100,57900,57800,57700,57800,58000,58200,58400,58800,59600,60600,61500,62300,63100,64100,65000,65500,65700,66400,67500,68300,68700,69200,69700,70200,70600,70800,70900,70800,70800,71000,71200,71500,71800,71900,72100,72200,72500,72800,73100,73400,73600
36,"North Carolina",10,55100,55200,55300,55600,55800,55700,55600,55600,55600,55800,56100,56400,56500,56800,57100,57300,57500,57900,58400,58700,58900,59200,59600,59800,59900,60000,60400,61000,61300,61500,61800,62200,62500,62900,63200,63400,63600,64000,64400,64600,64800,64900,64900,65200,65400,65400,65600,65800,65900,66000,66100,66300,66600,67000,67400,67700,67900,68200,68300,68500,68600,68900,69100,69100,69200,69400,69600,69800,70100,70200,70300,70600,70700,70700,70700,71000,71100,71100,71100,71200,71400,71800,72100,72500,73000,73100,73100,73000,73300,73500,73700,73700,73800,73900,74000,74000,74200,74600,75000,75100,75100,75200,75600,75800,75900,76100,76400,76600,76700,77000,77100,77500,78000,78500,78800,79200,79500,79600,79700,79900,80000,80100,80400,80700,80900,81000,81100,81200,81200,81100,81200,81400,81500,81800,82100,82300,82500,82600,82500,82500,82600,82800,82700,82700,82900,83100,83200,83300,83300,83200,83300,83200,83500,84300,84900,84700,84400,84400,84300,84100,84000,84200,84200,83900,83500,83000,82700,82400,82200,81900,81500,81100,80900,80500,80100,79900,79600,79000,78800,78700,78500,78000,77600,77200,76700,76300,76200,76200,76200,76100,75900,75800,75900,75900,75700,75800,76100,76300,76300,76400,76400,76400,76500,76600,76400,76300,76600,77100,77300,77300,77500,77900,78200,78300,78300,78500,79000,79400,79100,78800,78500,78500,78400,78300,78100,78100,78300,78600,78700,78800,79000,79300,79500,79600,79700,79800,80100,80200,80200
