"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,136800,136100,135400,135000,134800,134700,134400,134300,134600,135300,136100,136700,137100,137500,137900,138400,138800,139600,140700,142000,143300,144900,146600,147700,148100,148300,149600,151800,153400,154500,155900,157200,158500,159800,161000,162000,163200,164900,166700,168300,169900,171700,173800,176000,178300,180600,183000,185700,188500,191500,194000,196200,198700,201500,204300,207100,209900,212900,216100,219100,221700,224100,226000,227700,229500,231400,233400,235400,237500,239800,242100,244500,247300,250800,254500,258400,262600,266600,270300,273900,277500,280900,284300,287500,290400,293200,296200,299800,303700,308000,312800,318300,324100,330200,336500,343700,352200,361300,370300,378300,385200,390900,395800,399900,404200,408600,413200,418100,422800,427200,431400,436100,440900,445500,449600,453300,455700,456700,457500,458300,458100,457000,455900,454500,452800,450800,448400,445600,442700,440100,438000,435600,433100,430400,427100,423700,420200,416500,412700,408700,403800,398000,391400,384400,377200,370500,364100,357600,351200,345200,339800,334700,330700,328600,326600,323700,320800,318200,315900,314200,313300,312900,312700,312700,313200,313500,313600,313400,313100,312600,311500,309500,307300,304900,302500,300600,298500,296000,293100,290100,287300,284700,282400,280300,278500,277100,276100,275300,274500,274000,274000,274400,275100,276300,278000,280100,282600,285100,287900,290700,293900,297800,302900,309000,315700,322700,330600,338500,345600,352000,358300,364100,368700,372000,374500,377600,380900,383300,384200,384600,385300,386500,387900,389800,391800,393600,396200,399300,401600,403600,406000,408400,410800,412700,413800,415100,417000,419200,421000
54,"Texas",2,,,,,,,,,,,64600,64700,64900,65200,65400,65400,65700,66300,66500,66200,65900,66300,67000,67300,67400,67600,67900,68400,69000,69500,70000,70100,70100,70600,71100,71500,72100,72800,73300,73800,74000,74400,74800,74800,74600,74800,75000,75000,75300,75600,76000,76600,77100,77700,78300,78600,78700,78900,79200,79400,79500,79700,79800,79700,79900,80400,80600,80700,80800,81100,81300,81600,81800,82000,82200,82600,82800,83200,83400,83500,83600,83900,84300,84500,84700,85200,85800,86200,86600,86700,87000,87200,87300,87800,88900,90100,91100,91800,92400,93100,93700,94100,94400,94800,95200,95300,95500,95900,96200,96200,96600,97000,97200,97200,97200,97400,97700,98200,98700,99300,99900,100600,101300,101900,102200,102700,103100,103400,103600,104100,104800,105600,106200,106400,106900,107300,107300,107600,108200,108900,109100,108400,107300,106200,105300,104400,103700,103700,104400,105500,106700,108200,109500,110700,111900,113200,114300,115300,115900,116400,117300,118000,117800,117500,117600,117300,117000,117400,117800,117700,117200,117100,117400,117500,116700,115500,115200,115800,114800,112300,111700,112800,113400,113500,113200,112800,112400,111900,111600,112100,113400,114600,115600,116700,117400,117700,117600,117300,117100,117400,117400,117100,117600,118700,120700,122500,123400,122900,122300,122800,124500,125500,126200,127400,128700,128500,125600,121900,120100,120000,120200,120400,121000,122000,122800,123000,123800,125700,127600,129400,131400,133300,134600,135400,136100,137400,138500,138900,139100
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461800,469200,464700,442100,414800,399100,401300,415600,419500,410300,401000,398600,402000,406500,410900,417800,420800,420000,422900,430300,435600,437200,435000,433400,434000,433300,433900,439400,441700,439000,437200,439300,442100,443600,440200,437800,440100,443400,445400,448600,449000,446700,445100,445100,443800,442600,445500,450800,452300,450000,448600,448400,448400,446700,442900,438400,434400,430900,426900,423100,420400,418600,417700,418500,419200,419700,421300,422900,423600,425800,428300,429200,430100,431800,432400,432600,433400,434200,435600,437100,436500,434600,433500,433100,433400,434100,433700,432700,432200,432100,432400,432900,432800,432300,432300,433100,435300,438100,440800,442900,443300,445500,451300,455200,455200,456400,459600,462900,465800,469200,475700,484500,494400,504500,508700,520000,545100,568000,575800,579400,580900,583100,588700,597200,605200,610100,614000,615900,618400,624400,633000,641200,650400,658400,662900,664700,664300,662200,660100
14,"Florida",4,71200,71400,71500,71500,71400,71400,71300,71300,71200,71400,71700,72000,72100,72200,72400,72500,72700,72800,73000,73100,73400,73900,74600,75000,75200,75300,75200,75100,75300,75500,75800,76200,76500,76900,77300,77700,78000,78200,78200,78200,78500,78900,79400,79800,80100,80600,81200,81800,82200,82500,83000,83800,84300,84800,85200,85800,86300,86900,87600,88400,89200,90000,91000,92000,93000,93900,94800,95800,96900,98000,99200,100300,101400,102500,103700,105200,106700,108000,109500,111000,112300,113700,115000,116200,117600,119300,120800,122200,123500,124900,126400,128000,129700,131400,133200,135400,137500,139900,142500,145400,148400,151600,154700,158000,161400,164800,168600,173000,177800,182700,187900,193000,198200,203200,208200,212600,216600,220200,222900,225100,227000,228100,228000,227700,227200,226300,224900,223000,221100,219500,217900,215700,213100,210400,207800,205200,202700,200000,197200,194300,190900,187200,183300,179000,174700,170500,166400,162400,158400,154000,149700,145500,142100,139600,137100,134100,131000,128300,125900,123400,121300,119700,118500,117500,116400,115200,113900,112700,111700,110900,110100,109300,108000,106600,105300,104300,103300,102300,101400,100700,100000,99200,98400,97600,96800,96500,96300,96200,96100,96100,96300,96800,97600,98400,99300,100100,101100,102200,103000,103700,104700,105800,107000,108300,109600,111200,112900,114700,116200,117700,119600,121700,123400,124800,125700,127000,128800,130300,131300,132400,133500,134300,134900,135600,136300,136800,137500,138500,139500,140500,141300,142500,143900,145300,146400,147500,148600,150000,151200
21,"Illinois",5,106600,106500,106500,106800,107100,107100,107000,107200,107700,108200,108400,108500,108700,108800,108800,109000,109500,109800,110100,110200,110400,110900,111600,111900,112000,112400,113100,113800,114300,115000,115900,116500,116800,117300,117900,118400,119200,120200,120900,121700,122700,123700,124800,125900,126800,127700,129100,130700,132200,133500,134700,135600,136100,136600,137400,138700,140300,141600,142300,143000,144300,146300,148100,149800,151400,152900,153900,155200,156900,158500,159700,160900,161700,161800,161800,161900,162300,163100,164600,165700,166400,166900,168000,169400,170800,172500,174700,176400,177300,177800,178000,178000,178000,178600,179200,180100,180900,181300,181300,182100,183500,185000,186300,187100,187900,188900,190400,191700,193000,194500,196100,197400,198300,198700,199300,200400,201200,202100,202900,203300,203400,203800,204100,204400,204800,205000,205200,205800,206000,206000,206000,206000,205800,205600,205400,205200,204900,204800,205200,205300,205300,205300,204700,203700,202900,202200,200800,199300,198500,197800,197100,195700,194700,193900,192800,191600,190400,189000,187700,186700,185500,184800,184300,183800,183400,182700,181000,179200,177800,176800,175600,173900,172100,170300,167800,165000,162400,160100,159400,159400,158100,155400,153200,151700,150500,148800,146600,144500,142800,141200,139500,138000,137400,137800,137600,136700,135900,135400,134900,134900,135400,135800,135900,135800,136000,137000,139300,141900,143300,143900,146300,149700,152000,153800,155300,156000,156100,155000,152800,151700,152500,153700,154100,153400,152400,151800,151700,151600,151800,153100,155200,156600,157200,157700,157900,157900,157900,157900,157800
47,"Pennsylvania",6,54200,54100,53800,53600,53600,53600,53600,53500,53500,53600,53600,53500,53400,53400,53300,53300,53200,53100,53100,53000,53000,53300,53800,54200,54200,54200,54300,54100,54000,54100,54400,54700,54900,55000,55200,55400,55600,55600,55500,55700,55900,56000,55900,56000,56300,56500,56700,56900,57000,57000,57300,57300,57400,57600,57800,57700,57700,57900,58000,58100,58400,58600,58700,58900,59200,59700,60200,60800,61400,61900,62300,62500,63000,63600,64100,64600,65300,65900,66300,66900,67300,67700,68300,68900,69500,70300,70900,71500,72200,72700,73200,74000,74800,75700,76500,77400,78100,78900,80000,81200,82300,83400,84800,86200,87500,88700,90100,91600,93000,94500,96200,97900,99400,101000,102600,104300,105800,107100,108200,109200,110600,112100,113500,114400,115100,115700,116300,116600,116800,117100,117500,118100,118800,119200,119400,119900,120600,120900,120700,120100,119400,119100,119000,118800,118400,118100,117500,117200,116900,116600,116300,116100,116300,116700,117000,117000,117100,116900,116700,116800,117200,117500,117800,118500,119300,119200,118700,118600,118700,118800,118900,118400,117300,116400,115800,115200,114600,114400,114300,113800,113100,112300,111600,111100,110800,110500,110200,109800,109200,108900,108800,108500,107900,107300,106900,106500,106100,105700,105500,105500,105300,105000,104900,105000,105300,105800,106200,106500,106900,107500,108000,108800,109300,110100,110700,111600,112600,113400,113900,114500,115000,115300,115600,115900,116300,116700,117000,117000,117100,117300,117700,118000,118500,119200,119800,120300,120900,121300,121400
44,"Ohio",7,83700,84100,84600,85000,85200,85400,85600,85600,85600,85700,86000,86200,86300,86200,86300,86700,87200,87400,87700,88200,88700,89000,89400,89600,89800,90000,90200,90100,90300,90500,90700,90900,91300,91700,92200,92800,93300,93500,93700,94000,94300,94700,94900,94900,94900,95200,95800,96300,96700,97100,97600,98100,98400,98500,98800,99100,99400,99700,100000,100200,100500,100800,101000,101300,101500,101800,102100,102400,102900,103200,103500,103800,104100,104300,104500,104600,105000,105500,105900,106200,106600,107100,107400,107600,107900,108500,109000,109400,109900,110100,110300,110700,111300,111600,111900,112200,112500,112700,112900,113200,113700,114100,114700,115300,115700,116000,116300,116600,117000,117300,117400,117500,117500,117400,117500,117700,117600,117700,118000,118100,117900,117900,118000,118000,117800,117800,117700,117400,117200,117000,116900,116700,116400,116200,116000,115900,115600,115200,114900,114700,114300,113900,113200,112500,112000,111600,111200,111000,110900,110700,110300,109600,109100,108900,108600,108300,108000,107800,107500,107000,106700,106600,106400,106100,105800,105500,105300,104900,104500,104400,104200,103600,103000,102400,101700,101000,100400,99500,98800,98400,98000,97400,96700,96100,95400,94800,94100,93700,93400,93200,92900,92900,92900,92900,92900,93100,93400,93700,93900,93900,93800,94000,94000,93900,94000,94300,94700,95100,95500,95800,96400,97100,97600,97800,98000,98300,98400,98400,98500,98700,98700,98600,98600,98800,99000,99400,100100,100900,101100,101200,101300,101400,101600,101900,102200,102700,103200,103500,103500
30,"Michigan",8,116900,116600,116600,117400,117600,117000,116800,117300,117800,118400,119200,120100,121000,121500,121800,122200,123100,124200,125200,125900,126600,127400,128100,128600,129300,130100,130900,131400,132000,132500,133400,134100,134800,135700,136800,137700,138400,139200,140200,140900,141800,143000,143800,144400,145300,146400,147500,148700,149900,151000,151700,152100,152700,153600,154400,155300,156000,156600,156900,157400,157900,158400,159300,160300,161000,161200,161700,162100,162300,162500,162900,163300,163900,164500,165000,165500,165900,166400,166900,167700,168300,168700,169000,169100,169100,169200,169500,170100,170700,171100,171300,171600,171900,172300,172700,173100,173500,173700,173700,173600,173600,173800,174000,174000,174100,174200,174400,174700,175100,175500,175500,175400,175400,175300,175100,174900,174600,174200,173900,173300,172900,172400,171800,171000,170200,169400,168800,168000,167000,165900,164700,163700,162700,161700,160700,159600,158200,156600,155000,153700,152600,151000,149100,147100,145000,142900,141000,139300,137900,136200,134300,132000,130400,129700,129100,127700,126100,124300,123000,122100,121300,120800,120400,120200,119600,119000,118600,118400,118300,118400,118200,117500,116800,116100,115600,115000,114300,113500,112900,112900,112800,112700,112500,112300,112400,112600,112900,113300,113700,113900,114100,114500,115100,116300,117500,118500,119500,120600,121600,122400,123600,125200,126500,127300,128100,129300,131200,133400,135400,137100,138900,140600,142200,143600,144900,146400,147900,148500,148700,149300,150100,150400,150900,151800,152700,153100,153600,154400,155500,157000,158200,158700,159200,160100,160800,161400,162000,162800,163300
16,"Georgia",9,90200,90400,90100,90000,89900,89700,89600,89800,90000,90500,91100,91500,91900,92500,93100,93900,94600,95200,95800,96300,96600,97100,97900,98500,99100,99600,100100,100800,102000,103200,104000,104800,106000,107500,108800,109900,110600,111700,113500,115200,116400,117500,118800,120200,121700,122900,123800,124700,125800,127300,128400,129000,129500,130200,131100,131700,132200,133000,134100,134600,134800,135300,135800,136300,136900,137600,138300,138800,138900,139000,139400,140200,140700,141000,141200,141700,142300,142900,143200,143700,144300,144700,144800,144900,145300,145400,145400,145500,145600,145400,145400,145700,146100,146600,147100,147800,148100,148300,148600,149200,149500,149800,150200,150500,151100,151700,152200,152600,152900,153400,154000,154600,155100,155900,156700,157500,158200,159000,159600,159900,160200,160900,161200,161300,161500,161700,162100,162500,162600,162500,162400,162500,162600,162700,162800,162500,162000,161200,160600,159700,158900,158000,157000,155900,155000,154000,153100,152400,151600,150400,148700,146600,144700,143400,142200,140800,139600,138400,137300,136200,135600,135300,134800,134300,133600,132700,131800,130900,129700,128700,127800,126700,125600,124400,123300,122300,121100,119600,118300,117400,116200,114400,112200,110300,108700,107400,106100,105200,104700,104300,103700,103300,103100,103300,103500,103600,103500,103700,104000,104200,104700,105400,106200,106800,107300,108300,109900,111700,113100,114300,115700,117600,119100,120300,121300,122800,124800,126300,127200,128200,129300,130200,130900,131800,132600,133300,134200,135200,135800,136700,137900,139200,140400,141500,142400,143400,144300,145300,146000
36,"North Carolina",10,86500,87100,87500,87700,88100,88600,88900,89000,89100,89700,90300,90700,91300,91900,92500,93000,93300,93500,94000,94500,95300,96200,96800,97300,97500,97700,98200,99000,99700,100400,101400,102300,102800,103000,103300,103900,104600,105200,105800,106500,107200,107500,107600,107800,108100,108500,108900,109100,109400,109600,109900,110100,110100,110400,110800,111200,111200,111400,112200,112700,112500,112600,112800,112800,112800,113100,113100,113100,113200,113500,113800,114000,114000,114100,114300,114500,114700,114600,114600,115000,115600,115900,115900,115900,116200,116600,116800,116800,117000,117300,117700,118100,118500,119000,119200,119400,119800,120000,120100,120500,121000,121500,121900,122200,122700,123200,123700,124300,124800,125300,125800,126600,127300,128000,128700,129500,130100,130800,131300,132000,132700,133300,133900,134700,135400,136300,137100,137800,138400,139000,139700,140300,141000,141700,142300,142600,142700,142700,142800,142700,142400,142200,141900,141700,141600,141600,141600,141600,141400,140900,140100,139400,138800,138100,137400,136700,136000,135200,134500,134000,133500,133100,132900,132600,132000,131300,130700,130100,129500,129200,129000,128400,127600,126900,126100,125300,124600,124200,123800,123300,122600,121700,121000,120500,120100,119900,119700,119600,119600,119500,119200,119000,119000,119000,118900,118900,119000,119100,119100,119400,119800,120200,120600,121000,121300,121600,122000,122300,122500,122600,122800,123100,123400,123800,124300,124600,124700,124600,124400,124300,124400,124500,124600,124900,125000,125100,125400,125900,126700,127400,127900,128300,128800,129000,129300,129600,130000,130400,130800
