"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,1962,1955,1950,1947,1943,1942,1940,1939,1937,1933,1931,1930,1929,1930,1928,1927,1927,1927,1928,1932,1933,1933,1933,1934,1933,1935,1940,1948,1960,1968,1976,1983,1987,1989,1992,1998,2002,2008,2012,2018,2026,2032,2036,2042,2054,2073,2098,2120,2141,2162,2180,2192,2208,2219,2232,2243,2252,2259,2263,2266,2269,2277,2288,2298
54,"Texas",2,1210,1218,1219,1219,1217,1216,1214,1213,1212,1210,1208,1206,1208,1206,1206,1208,1210,1211,1213,1215,1217,1218,1221,1222,1226,1224,1225,1228,1235,1242,1250,1255,1259,1262,1265,1270,1278,1283,1287,1289,1289,1290,1291,1292,1296,1304,1316,1327,1338,1345,1352,1358,1365,1371,1378,1384,1389,1392,1392,1391,1391,1392,1395,1398
43,"New York",3,1708,1719,1729,1737,1744,1750,1749,1746,1740,1737,1735,1735,1738,1741,1746,1757,1763,1772,1784,1790,1790,1782,1776,1772,1780,1784,1794,1798,1805,1809,1821,1835,1848,1853,1857,1863,1882,1893,1901,1903,1905,1904,1902,1903,1915,1929,1947,1961,1979,1985,1986,1990,1999,2011,2018,2029,2040,2062,2079,2094,2098,2097,2100,2107
14,"Florida",4,1253,1256,1256,1254,1252,1248,1245,1243,1242,1242,1241,1241,1241,1240,1240,1240,1244,1248,1253,1257,1260,1262,1264,1267,1270,1273,1276,1280,1285,1289,1294,1300,1305,1311,1319,1329,1341,1351,1358,1364,1370,1373,1376,1377,1379,1383,1390,1397,1402,1406,1410,1417,1426,1434,1442,1449,1456,1461,1463,1462,1464,1466,1472,1477
21,"Illinois",5,1465,1462,1462,1457,1450,1444,1439,1434,1425,1413,1404,1399,1396,1390,1383,1383,1387,1388,1391,1391,1391,1391,1395,1401,1403,1398,1391,1388,1388,1396,1403,1411,1414,1417,1417,1420,1427,1439,1450,1455,1459,1452,1447,1443,1448,1454,1461,1462,1464,1463,1461,1460,1463,1465,1465,1467,1469,1473,1472,1469,1466,1467,1470,1475
47,"Pennsylvania",6,1195,1201,1202,1199,1196,1196,1195,1192,1189,1185,1182,1179,1176,1168,1164,1165,1170,1176,1182,1186,1186,1183,1180,1180,1185,1188,1191,1193,1192,1191,1191,1192,1192,1191,1191,1192,1195,1195,1197,1198,1195,1192,1187,1183,1183,1187,1194,1200,1206,1210,1213,1214,1212,1212,1213,1216,1223,1228,1230,1229,1226,1222,1218,1216
44,"Ohio",7,981,982,988,989,986,978,976,978,982,983,981,979,980,983,988,992,998,999,993,981,969,963,964,969,975,979,978,979,982,991,1001,1008,1011,1012,1014,1018,1023,1027,1027,1027,1025,1025,1025,1028,1037,1049,1060,1066,1068,1068,1068,1071,1075,1082,1090,1099,1104,1105,1102,1098,1095,1096,1099,1101
30,"Michigan",8,1089,1100,1106,1103,1095,1081,1074,1070,1072,1070,1064,1031,992,942,917,909,912,915,919,921,919,914,908,912,929,940,943,937,931,926,925,928,927,928,933,953,979,995,996,995,991,984,974,969,971,978,985,992,1003,1006,1009,1016,1030,1045,1051,1053,1050,1048,1046,1045,1050,1053,1058,1063
16,"Georgia",9,1102,1109,1114,1112,1107,1104,1101,1097,1093,1089,1085,1082,1084,1082,1080,1079,1080,1078,1076,1074,1075,1073,1070,1067,1066,1062,1059,1060,1062,1066,1070,1076,1080,1083,1086,1090,1094,1096,1097,1099,1100,1101,1101,1099,1101,1105,1113,1121,1131,1137,1142,1145,1149,1154,1160,1166,1169,1172,1174,1175,1175,1173,1174,1176
36,"North Carolina",10,987,989,991,993,995,996,998,1000,1002,1003,1003,1003,1005,1006,1010,1014,1019,1024,1025,1026,1024,1024,1024,1024,1026,1027,1025,1024,1023,1023,1026,1030,1038,1047,1056,1064,1071,1077,1080,1080,1078,1077,1077,1074,1072,1071,1073,1078,1084,1090,1096,1103,1107,1113,1120,1126,1129,1131,1129,1127,1123,1121,1121,1123
