"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,1946,1940,1933,1926,1920,1916,1912,1911,1909,1905,1902,1900,1898,1898,1897,1897,1899,1900,1901,1904,1905,1904,1903,1903,1902,1904,1910,1916,1929,1939,1948,1956,1959,1961,1965,1971,1975,1980,1984,1990,1997,2002,2006,2010,2024,2044,2072,2096,2118,2140,2159,2173,2190,2202,2216,2228,2238,2245,2249,2251,2253,2260,2272,2283
54,"Texas",2,1210,1218,1219,1218,1217,1214,1213,1212,1211,1208,1206,1203,1205,1203,1204,1206,1208,1209,1210,1211,1213,1215,1217,1219,1222,1220,1222,1225,1232,1239,1247,1253,1257,1260,1262,1267,1276,1281,1285,1287,1288,1289,1290,1291,1295,1304,1316,1328,1339,1346,1352,1359,1366,1372,1378,1385,1390,1393,1393,1392,1392,1394,1396,1399
43,"New York",3,1689,1692,1695,1699,1703,1707,1707,1705,1700,1698,1699,1700,1701,1703,1709,1718,1729,1740,1754,1763,1767,1762,1755,1749,1753,1759,1771,1779,1789,1795,1809,1825,1840,1847,1852,1861,1879,1894,1906,1913,1919,1922,1922,1923,1935,1949,1970,1987,2005,2013,2016,2023,2035,2046,2053,2063,2072,2092,2111,2130,2139,2144,2151,2156
14,"Florida",4,1259,1264,1264,1263,1260,1257,1253,1252,1252,1251,1251,1250,1250,1248,1248,1248,1251,1255,1261,1265,1268,1269,1271,1274,1278,1280,1284,1287,1292,1297,1301,1308,1314,1321,1329,1340,1352,1362,1370,1376,1382,1385,1387,1388,1390,1394,1401,1407,1413,1416,1421,1428,1438,1446,1455,1462,1468,1473,1476,1476,1479,1482,1487,1491
21,"Illinois",5,1456,1457,1456,1452,1444,1439,1434,1430,1421,1409,1400,1396,1393,1386,1380,1380,1384,1385,1387,1387,1388,1387,1392,1398,1400,1395,1387,1383,1384,1392,1399,1407,1409,1413,1413,1416,1424,1433,1445,1450,1453,1446,1442,1437,1443,1449,1456,1456,1459,1459,1458,1457,1460,1463,1462,1464,1465,1468,1467,1462,1460,1459,1463,1466
47,"Pennsylvania",6,1194,1199,1198,1194,1189,1188,1188,1185,1181,1177,1175,1171,1167,1158,1153,1155,1161,1168,1174,1178,1178,1176,1172,1173,1177,1180,1183,1184,1184,1183,1183,1185,1185,1185,1184,1186,1189,1189,1190,1190,1188,1184,1179,1175,1176,1180,1187,1192,1199,1204,1207,1209,1208,1207,1207,1209,1213,1218,1220,1218,1215,1211,1210,1210
44,"Ohio",7,963,964,970,972,969,962,959,962,966,968,966,964,965,967,971,975,979,980,975,963,952,946,946,951,958,962,962,963,965,973,981,988,990,990,990,994,999,1004,1006,1008,1005,1004,1004,1005,1013,1025,1038,1044,1044,1042,1043,1047,1051,1059,1068,1078,1084,1086,1083,1081,1081,1082,1082,1080
30,"Michigan",8,1090,1101,1108,1104,1095,1081,1074,1070,1072,1070,1064,1032,993,943,919,911,914,917,921,923,921,915,909,913,930,942,945,940,933,928,926,929,928,929,934,954,980,995,996,995,992,985,976,971,973,980,988,994,1005,1008,1011,1018,1032,1047,1053,1054,1052,1050,1048,1047,1051,1054,1059,1063
16,"Georgia",9,1107,1114,1116,1115,1111,1107,1104,1100,1096,1091,1088,1085,1087,1085,1084,1083,1083,1081,1079,1077,1077,1076,1073,1070,1068,1063,1061,1062,1064,1068,1072,1078,1082,1085,1087,1091,1096,1098,1099,1101,1102,1103,1102,1101,1103,1107,1116,1123,1133,1139,1145,1148,1152,1156,1163,1169,1172,1175,1177,1178,1178,1177,1178,1181
36,"North Carolina",10,989,991,994,996,998,999,1001,1003,1005,1006,1006,1006,1009,1010,1013,1017,1022,1027,1028,1028,1027,1026,1026,1026,1029,1029,1028,1027,1025,1025,1028,1033,1041,1049,1058,1066,1073,1078,1081,1081,1079,1078,1078,1075,1073,1072,1075,1079,1085,1091,1097,1104,1109,1114,1121,1127,1131,1132,1131,1129,1126,1124,1124,1125
