"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,1826,1822,1812,1799,1788,1780,1777,1776,1775,1773,1772,1769,1764,1763,1764,1768,1774,1778,1779,1780,1777,1772,1768,1769,1770,1777,1786,1795,1810,1821,1833,1839,1841,1840,1843,1851,1857,1862,1864,1869,1877,1881,1883,1888,1907,1935,1970,1997,2020,2042,2063,2080,2100,2116,2135,2154,2168,2177,2180,2183,2186,2195,2208,2223
54,"Texas",2,1070,1065,1063,1061,1059,1057,1053,1050,1047,1044,1041,1035,1030,1026,1022,1022,1024,1024,1023,1021,1021,1023,1027,1031,1034,1037,1044,1051,1062,1071,1083,1095,1102,1108,1113,1124,1138,1155,1165,1171,1175,1178,1180,1184,1192,1203,1218,1229,1238,1243,1246,1249,1256,1262,1269,1276,1281,1282,1281,1279,1280,1282,1286,1291
43,"New York",3,1719,1716,1713,1708,1702,1702,1701,1702,1701,1702,1703,1705,1707,1710,1717,1728,1746,1761,1776,1787,1791,1788,1779,1773,1777,1787,1801,1814,1831,1842,1859,1885,1913,1930,1941,1948,1962,1981,2001,2018,2027,2035,2045,2051,2067,2084,2113,2133,2150,2161,2169,2185,2204,2214,2219,2219,2216,2231,2250,2279,2296,2310,2314,2313
14,"Florida",4,1203,1204,1206,1208,1210,1212,1211,1211,1213,1213,1214,1212,1214,1213,1212,1212,1217,1222,1228,1232,1235,1236,1237,1240,1243,1246,1248,1249,1251,1254,1258,1264,1269,1278,1289,1302,1318,1331,1342,1350,1357,1360,1363,1366,1369,1373,1378,1384,1389,1392,1397,1403,1413,1421,1428,1434,1441,1446,1450,1450,1451,1455,1460,1466
21,"Illinois",5,1484,1486,1481,1472,1466,1463,1458,1453,1449,1446,1443,1439,1437,1436,1436,1438,1444,1445,1446,1443,1442,1442,1446,1453,1454,1452,1450,1449,1457,1469,1480,1488,1484,1483,1483,1488,1493,1498,1508,1516,1521,1518,1517,1519,1530,1538,1548,1553,1558,1557,1552,1547,1547,1545,1542,1544,1548,1548,1541,1532,1527,1528,1534,1541
47,"Pennsylvania",6,1046,1050,1046,1036,1026,1018,1011,1007,1007,1009,1013,1012,1009,1004,1005,1012,1020,1027,1032,1035,1035,1033,1033,1032,1031,1027,1026,1028,1033,1039,1045,1048,1046,1043,1037,1038,1042,1047,1054,1060,1067,1071,1071,1070,1074,1082,1093,1103,1112,1119,1122,1124,1122,1120,1122,1129,1136,1140,1140,1141,1140,1141,1143,1143
44,"Ohio",7,815,821,829,835,839,839,840,841,842,846,848,849,851,849,850,852,853,853,850,844,838,834,834,837,846,850,851,850,845,844,845,847,848,849,851,855,862,866,868,871,870,873,876,878,884,890,895,898,900,902,903,907,909,917,926,935,941,944,943,940,939,937,934,932
30,"Michigan",8,1167,1165,1165,1157,1147,1140,1141,1146,1152,1157,1163,1159,1145,1128,1118,1118,1126,1135,1142,1145,1146,1145,1143,1148,1155,1167,1173,1174,1172,1171,1169,1169,1169,1173,1182,1192,1199,1204,1206,1209,1212,1210,1207,1200,1197,1196,1201,1207,1214,1220,1225,1232,1242,1249,1254,1260,1264,1263,1254,1245,1242,1246,1252,1257
16,"Georgia",9,1081,1078,1081,1082,1083,1081,1079,1078,1077,1073,1070,1066,1066,1064,1062,1061,1063,1062,1061,1058,1056,1053,1050,1049,1048,1048,1047,1048,1052,1059,1067,1075,1081,1087,1093,1100,1108,1113,1115,1116,1118,1121,1124,1128,1133,1140,1151,1160,1171,1180,1189,1195,1201,1204,1206,1209,1212,1217,1219,1219,1219,1221,1224,1228
36,"North Carolina",10,908,916,919,920,918,916,916,916,917,919,922,925,928,928,931,935,938,940,942,942,942,942,942,946,951,954,956,957,957,959,962,966,970,973,975,979,986,990,994,995,994,994,995,995,995,996,1001,1005,1009,1011,1013,1018,1024,1033,1041,1046,1051,1056,1058,1056,1053,1050,1051,1052
40,"New Jersey",11,1602,1622,1635,1638,1636,1632,1629,1623,1619,1627,1641,1659,1688,1715,1742,1752,1756,1761,1769,1775,1774,1768,1768,1773,1786,1792,1800,1808,1812,1813,1814,1821,1829,1832,1822,1807,1791,1771,1755,1749,1746,1751,1753,1751,1751,1756,1770,1785,1792,1788,1779,1779,1788,1801,1813,1821,1831,1836,1834,1826,1819,1816,1819,1827
56,"Virginia",12,1548,1552,1555,1556,1558,1559,1561,1564,1568,1573,1578,1584,1592,1599,1606,1612,1617,1623,1630,1636,1640,1644,1648,1652,1658,1664,1670,1674,1676,1679,1682,1685,1686,1686,1686,1688,1691,1692,1694,1696,1697,1699,1700,1699,1698,1697,1700,1702,1705,1706,1707,1708,1709,1710,1710,1712,1714,1718,1718,1716,1710,1704,1701,1701
59,"Washington",13,1216,1221,1225,1227,1227,1224,1217,1212,1206,1203,1202,1202,1206,1205,1205,1207,1211,1215,1218,1222,1225,1227,1231,1235,1245,1253,1260,1264,1267,1268,1272,1278,1285,1291,1297,1303,1312,1320,1328,1333,1341,1347,1356,1362,1368,1376,1386,1396,1404,1407,1408,1413,1422,1435,1446,1457,1465,1472,1476,1479,1482,1484,1487,1494
26,"Massachusetts",14,1567,1566,1565,1559,1548,1536,1525,1518,1514,1512,1516,1525,1538,1550,1563,1576,1595,1616,1645,1668,1684,1686,1684,1678,1675,1680,1688,1700,1709,1715,1718,1718,1719,1727,1739,1754,1768,1780,1788,1790,1788,1788,1787,1788,1793,1808,1831,1851,1865,1875,1886,1900,1914,1931,1947,1962,1974,1981,1981,1979,1976,1975,1975,1977
22,"Indiana",15,952,956,958,954,944,934,923,915,909,904,901,897,896,893,893,895,900,906,905,898,888,879,875,875,878,877,871,866,859,859,863,870,876,883,889,897,904,909,911,914,916,920,922,922,922,925,932,935,938,940,943,945,946,945,949,957,966,969,963,955,946,939,935,937
8,"Arizona",16,976,968,965,963,960,958,956,953,949,943,939,936,933,935,936,937,937,936,935,935,933,931,932,935,940,944,947,948,948,950,953,958,962,964,964,965,968,973,978,978,977,975,972,970,972,977,986,994,1000,1005,1006,1010,1018,1028,1037,1044,1050,1056,1059,1057,1051,1049,1050,1053
53,"Tennessee",17,971,970,971,969,965,958,952,948,946,945,945,949,955,960,964,969,975,979,983,985,986,986,987,990,991,993,993,993,994,995,997,1001,1004,1006,1008,1010,1010,1010,1014,1019,1024,1030,1034,1039,1043,1048,1054,1058,1063,1068,1071,1071,1078,1086,1094,1098,1102,1108,1112,1114,1114,1116,1120,1127
32,"Missouri",18,855,860,865,869,870,870,872,875,876,876,875,876,880,883,886,890,893,896,894,891,887,883,879,875,873,869,866,862,859,858,860,862,864,863,863,866,870,873,874,876,874,874,873,871,873,876,882,885,888,889,890,890,889,890,893,896,899,904,905,905,903,901,898,896
27,"Maryland",19,1593,1592,1593,1597,1600,1602,1603,1606,1607,1609,1611,1615,1617,1621,1623,1626,1624,1624,1625,1624,1623,1620,1619,1619,1622,1625,1629,1632,1636,1640,1645,1649,1653,1657,1657,1659,1660,1662,1663,1663,1660,1658,1655,1652,1651,1654,1661,1668,1673,1675,1677,1678,1678,1681,1687,1690,1693,1694,1693,1689,1684,1682,1680,1677
60,"Wisconsin",20,827,857,871,880,892,905,920,936,950,958,960,956,961,956,962,972,981,989,995,999,995,991,986,992,1000,997,987,977,964,955,951,953,963,974,988,994,1001,994,989,986,985,981,973,966,964,974,992,1011,1029,1036,1045,1053,1067,1076,1082,1082,1077,1063,1043,1027,1026,1026,1033,1040
31,"Minnesota",21,1146,1156,1164,1166,1165,1170,1178,1187,1197,1203,1206,1207,1210,1208,1207,1207,1208,1208,1207,1206,1208,1209,1213,1219,1228,1236,1243,1250,1254,1256,1258,1260,1263,1266,1271,1275,1280,1281,1283,1286,1288,1290,1291,1291,1288,1287,1288,1292,1296,1296,1296,1298,1303,1309,1312,1314,1316,1319,1318,1316,1314,1313,1313,1315
10,"Colorado",22,1096,1100,1109,1119,1127,1130,1135,1141,1147,1151,1154,1158,1164,1166,1163,1161,1159,1160,1162,1167,1171,1176,1182,1188,1196,1200,1206,1211,1216,1223,1230,1239,1245,1250,1253,1256,1265,1273,1282,1291,1298,1304,1310,1315,1321,1331,1344,1360,1379,1395,1410,1424,1440,1455,1467,1476,1484,1494,1503,1509,1515,1521,1525,1530
4,"Alabama",23,951,946,945,934,911,886,873,873,876,879,878,872,864,862,861,864,870,878,879,873,864,863,878,908,929,943,949,954,955,958,959,962,964,963,960,957,956,959,963,966,968,972,972,973,975,980,985,989,990,994,996,1002,1014,1033,1053,1065,1076,1078,1074,1061,1049,1045,1047,1053
51,"South Carolina",24,950,958,956,947,936,928,926,926,925,922,914,910,909,909,911,915,920,922,923,924,924,924,922,918,917,916,921,927,935,939,941,943,943,942,944,950,960,968,976,983,988,992,993,994,1001,1012,1026,1035,1038,1033,1027,1026,1033,1039,1049,1055,1060,1063,1069,1074,1079,1082,1086,1089
25,"Louisiana",25,1139,1142,1135,1126,1120,1130,1143,1155,1164,1171,1178,1183,1185,1190,1195,1195,1183,1167,1153,1149,1154,1155,1155,1154,1160,1168,1174,1179,1186,1199,1209,1216,1213,1208,1201,1198,1196,1202,1212,1223,1232,1243,1254,1262,1278,1293,1307,1317,1330,1343,1363,1380,1390,1394,1394,1391,1382,1382,1393,1405,1400,1387,1374,1369
