"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,1979,1977,1973,1970,1966,1964,1962,1960,1957,1952,1949,1947,1947,1947,1945,1943,1943,1942,1943,1946,1948,1947,1947,1948,1948,1949,1954,1962,1974,1982,1990,1996,2000,2003,2006,2011,2015,2020,2023,2029,2036,2042,2045,2051,2063,2082,2107,2128,2150,2171,2188,2199,2215,2227,2241,2252,2261,2268,2272,2274,2276,2283,2294,2303
54,"Texas",2,1229,1228,1229,1228,1227,1225,1224,1222,1220,1217,1215,1214,1214,1214,1214,1216,1218,1219,1221,1222,1224,1226,1228,1230,1233,1232,1234,1236,1243,1250,1258,1264,1268,1270,1272,1277,1284,1291,1295,1297,1297,1297,1297,1299,1303,1311,1323,1334,1345,1354,1361,1369,1375,1382,1388,1394,1399,1403,1403,1402,1400,1400,1403,1406
43,"New York",3,1658,1666,1676,1687,1701,1713,1712,1708,1700,1695,1692,1693,1698,1700,1702,1708,1710,1717,1731,1739,1741,1734,1728,1722,1728,1733,1739,1742,1745,1752,1760,1768,1772,1776,1779,1787,1806,1816,1821,1819,1813,1806,1803,1805,1818,1829,1843,1851,1863,1866,1874,1882,1891,1895,1900,1909,1921,1942,1958,1972,1977,1974,1972,1975
14,"Florida",4,1290,1291,1291,1288,1284,1279,1275,1272,1271,1270,1270,1269,1269,1268,1268,1269,1271,1275,1280,1284,1286,1287,1288,1290,1294,1297,1301,1306,1312,1318,1324,1332,1339,1345,1352,1360,1370,1378,1384,1389,1394,1397,1398,1397,1398,1403,1412,1419,1425,1430,1435,1441,1450,1458,1466,1473,1479,1484,1486,1486,1488,1491,1496,1499
21,"Illinois",5,1439,1445,1448,1446,1438,1432,1427,1422,1411,1397,1386,1382,1381,1372,1363,1361,1363,1363,1366,1369,1371,1370,1375,1382,1384,1378,1368,1362,1360,1366,1371,1378,1384,1389,1389,1390,1399,1407,1418,1421,1426,1418,1412,1405,1408,1413,1420,1420,1423,1422,1421,1421,1427,1432,1434,1434,1434,1438,1437,1433,1430,1431,1436,1441
47,"Pennsylvania",6,1197,1202,1207,1211,1210,1209,1207,1205,1201,1197,1192,1188,1188,1183,1179,1179,1184,1190,1195,1198,1197,1194,1191,1192,1198,1201,1204,1206,1204,1204,1204,1206,1205,1205,1206,1207,1210,1208,1207,1207,1204,1201,1197,1193,1193,1197,1205,1210,1216,1221,1222,1222,1218,1219,1222,1227,1234,1240,1242,1240,1238,1235,1233,1230
44,"Ohio",7,982,983,989,990,986,978,975,977,981,982,980,978,980,982,987,991,998,999,994,981,968,962,963,969,976,979,978,980,983,994,1004,1012,1016,1018,1019,1024,1028,1031,1030,1030,1027,1026,1026,1030,1038,1049,1060,1066,1068,1068,1069,1072,1076,1082,1090,1099,1104,1105,1101,1097,1095,1095,1098,1100
30,"Michigan",8,1090,1099,1104,1098,1088,1073,1067,1062,1065,1062,1056,1022,981,930,905,896,899,902,905,908,905,900,895,898,915,925,927,921,915,910,908,911,910,911,915,933,958,973,975,974,973,966,956,951,953,958,966,973,984,988,991,999,1012,1026,1031,1032,1028,1027,1025,1025,1029,1034,1039,1044
16,"Georgia",9,1112,1120,1121,1118,1113,1109,1105,1102,1097,1093,1089,1087,1088,1086,1085,1084,1085,1083,1081,1079,1079,1078,1074,1071,1069,1064,1062,1063,1065,1069,1073,1078,1082,1085,1087,1091,1095,1097,1098,1100,1100,1101,1100,1099,1100,1104,1113,1120,1129,1134,1141,1144,1148,1152,1159,1165,1168,1171,1173,1174,1173,1171,1172,1174
36,"North Carolina",10,992,995,1000,1003,1005,1006,1008,1012,1015,1017,1018,1018,1021,1021,1024,1028,1033,1038,1040,1040,1038,1037,1038,1038,1041,1041,1039,1037,1036,1036,1038,1042,1050,1058,1067,1075,1082,1087,1090,1090,1089,1087,1087,1084,1081,1080,1082,1086,1092,1098,1103,1110,1115,1121,1128,1134,1138,1140,1139,1137,1134,1133,1134,1135
